text,Preprocessed_text,Clustered
"Been trying to book a cab via pickme for over a month and have always been let down. I mean sometimes im unable to get a bloody tuk for ducks sakes. Tried again now and failed again. Thought it might be an app issue and unistalled and reinstalling again. If this also doesn't work, well good riddance pickme.",try book cab month let mean unable bloody thought app issue work good riddance ,0
Superi app,app ,2
Good service !!!!!!!!!!!!!!!!!!!!!,good service ,2
Poor communication system suddenly cancel the order...,poor communication system suddenly cancel order ,0
worst app ever. my trip charge was too high than expected trip fee. i complained by mail. we cant contact them and they never respond my mail. im so unsatisfied with this app. disgusting!,worst app trip charge high fee mail not contact respond unsatisfie disgusting ,0
Lkk,,
Ok,,
Always shows no internet connection.. (if i have 4G connection or wifi) Fixed that issue..!!! Poor Developing.!!,connection fix issue poor ,0
Not useful at all for emergencies,not useful ,2
"Though I got a promo code it comes ""you are not eligible for this"" when I apply. Then for what the hell they send promo codes to me😑",get code come eligible apply hell send expressionless face ,1
eye ra and beauty 5eu9x9d5credits,eye ra beauty eu credit ,2
මගේ කෑම එක ඩිලිවරි කරන්නෙ නැතුව දැන් දවස් තුනක් මගේ කාඩ් එකෙක් සල්ලි කපාගත්තා complain කලාම කිසි ගානක් නැහැ මෙහෙම තව ගොඩක් අයට වෙලා ඇති pick me use කරන අය කල්පනාවෙන් මේක මෙයාලා plane කරලා කරන දෙයක්මගේ කෑම එක ඩිලිවරි කරන්නෙ නැතුව දැන් දවස් තුනක් මගේ කාඩ් එකෙක් සල්ලි කපාගත්තා complain කලාම කිසි ගානක් නැහැ මෙහෙම තව ගොඩක් අයට වෙලා ඇති pick me use කරන අය කල්පනාවෙන් මේක මෙයාලා plane කරලා කරන දෙයක්,complain pick use plane ,2
Very good,good ,2
Excellant,,
Always giving location update fail even given location access to the app properly.,give location update fail access app properly ,0
Its terrible,terrible ,2
good,good ,2
Good,good ,2
Cant make a ride,not ride ,0
"This is my second complain ....for the past 6 days this app stops frequently saying ""unfortunately pickme has stopped""...!!! I refreshed my phone ..nothing happened. ..I switched off and on my phone ..nothing happened. ..I uninstall and reinstalled it...nothing happened. ..complained several times..nothing happened. .really frustrated. ..it's going from bad to worst ...👎👎👎",second complain past day app frequently say unfortunately stop phone switch time go bad thumb ,0
"Nyc app, good working. Well job of drivers",app good work job ,2
"drivers don't know how to use the app. most of them out of greed, accept the ride from far away.. they can't read a location on a map. very disappointed with the level of overall quality",know use app greed accept ride far away read location map disappoint level overall quality ,2
No vehicles when we need,no need ,2
Very fast,fast ,2
Comfertable journey at pickme and thaks for pickme,journey ,2
Best taxi app in Sri Lanka. Customer support is very responsive to support tickets. Old : Complaint section is so buggy. apart from that the app is great,good taxi app sri customer support responsive old complaint section buggy apart great ,1
Good,good ,2
"It's not working at all for Samsung galaxy prime, after December 2019 update, no updates are awailable, team has nothing to do with app issues I guess",work galaxy prime update team app guess ,0
Nice app😊,nice app smile face eye ,2
Go Sri Lankan 👍🏾,sri thumbs medium dark skin tone ,2
Easy to use. I use it all the time.,easy use time ,2
Great,great ,2
It is wonferdul,,
Love riding,love ride ,2
Your pickup and drop location selection is a huge mess. Sometimes software took my drop location as the pickup location. Sometimes no drop location was selected. Please update this.,pickup drop location selection huge mess take select update ,0
Very inconvenient when WhatsApp link to Google map redirect to pick me. Hence I uninstalled. I will open via pick me if required .,inconvenient link map redirect pick uninstalle open ,0
Price is a lie we got lkr 250 for one KM,price lie get ,2
Pick me එකෙන් කවුරුත් යන්න එපා. මොකද මම 10 වෙනිදා දැම්මා පැමිණිල්ලට අද වෙනකන් විසදුමක් නෑ. මගෙ රැ 84 හයර් එකට මෙ බලු සක්කිලි වෙස හැත්ත ගත්තා රැ 394 ක් ඒ ගැන කියලත් කිසිම විසදුමක් නෑ. මෙ ඇප් එකෙන් කවදාවත් හයර් දාලා යන්න එපා මුන් හිගා කෑවනම් මීට වඩා හොදයි. මිනිස්සුන්ව සුරන් කනවා. ඊට දවස් දෙකකට පස්සේ ආයෙ මට 50 ඩිස්කවුනට් එකක් තිබ්බා එක දාලා ගියාම රැ 21 හයර් එකට මගෙන් රැ 120ක් ගත්තා මෙ වගෙ ඒවගෙ ආයෙනම් යන්න එපා මුන් මිනිස්සුන්ව සුරන් කනවා. මම මෙක face book එකෙ හැම පේජ් එකක් මත් දැම්මා දැනගන්න,pick face book ,2
is has ř,,
Lol no vehicles at all,no vehicle,0
Does not open,open ,2
Not working with my tablet,not work tablet ,2
Come to Matale pl,come ,2
App crashes. Complained but no response.,app response ,0
Only feature I would like to request is to be able to leave feedback to a driver after a trip has completed.,feature like request able leave feedback driver trip ,1
Pick me is so helpful for me.,pick helpful ,2
It keeps notifying even after I turned it off,turn ,0
"Drivers are unprofessional. Some won't accept card payments. Some dont know how to use the GPS map. And its quite inconvenient when we have to call multiple times to get the driver to come to the right location and after a longer wait, they cancel the ride. Pick Me should really train its driver partners and make them adhere to strict standards as a norm.",unprofessional accept card not know use map inconvenient multiple time driver come right location longer wait cancel ride pick train adhere strict norm ,1
Excellent,excellent ,2
To much rate alibaba compnay,rate ,2
crashes without a reason in the morning,reason morning ,0
When you pay with points it doesn't show the driver that I paid with points sometimes. Its really annoying when that happens and I have to call the customer care to convince them.,pay driver annoying customer care convince ,0
"This is getting worse day by day, drivers are accepting the ride and then call and ask to cancel from our side, most of the time no vehicle, poor service, really a time waste",get bad day ride ask cancel time vehicle poor service waste ,0
"it's useful app, but they need to work on intercity rides. drivers expect a city ride and when they understand the destination, they cancel it. also prebook feature does not work, mine was silently cancelled, when time came.",useful app need work intercity expect city ride understand destination cancel feature silently time come ,1
I usually wake up in 5 and leave at 6:30 none of the vehicles are available at that time it is VERY FRUSTRATING when I can not find a driver when I want to.speaking of drivers most of them accept the ride and then remain unresponsive in the map as well as the calls.,usually wake leave available time find driver want speak accept ride remain unresponsive map ,0
Gh Hj,,
Superb!,superb ,2
Today's morning trip was awful. My initial amount shows as LKR 230 when I booked the trip and time estimation shows as 15 min there were no traffic in the road but driver used another route apart from my normsl route which shows in the driver app. At the end of the trip amount shows as LKR 270 and it took more than 15 min to arrive my destination. This app is misleading the customers. Totally dissapointed with the service. Complain added but still no response.,today morning trip awful initial book time estimation min traffic road driver route apart app end take arrive destination mislead totally service complain add response ,0
Very 👎,thumb ,2
Service Used to be very good! Now very crappy! App is also Very poor and unreliable now!,service good app poor unreliable ,2
Excellent,excellent ,2
Good,good ,2
I ordered food at 10.40 .pm after training and I got a call at 12.pm saying my order has to be cancelled I was kept waiting for over an hour to have my dinner and then it was cancelled. I tried to order something else but no other restaurants were open. I lodged a complaint and they said they would get back to me within 2 working days but it's been over a 10 days now and no one has contacted me regarding the matter,order food training get say keep wait hour dinner try open lodge complaint work day matter ,2
Most of the riders are going another directions. But in the app my location is correct. Today the rider went to Adhikaram road. But I'm in Uswatta road. He asked me to come to Adhikaram road. Sometimes Pick me directions are wrong. Riders argue with me. Some riders come to correct address without any issue. Please correct the fault of PickMe directions and locations.,go app location correct today rider road come pick wrong argue address issue fault ,0
This App keep sending me notifications telling that i have promo code offers on rides but when i go and check there's none. So disturbing,app send tell code check disturbing ,0
Useless app no food riders bad,useless app food bad ,2
Good job pick me,good job pick ,2
The best way to drive safely,good way drive safely ,2
"Great Sri Lankan App,Better than uber and others.#1 Recomonded for all.",great sri app well ,2
Good,good ,2
"I'm very happy with last ride with ashanka' flex ko0972, from airport to kandy, nice and relax ride.",happy ride flex ko airport nice relax ,2
👍,thumbs ,2
It's really bad,bad ,2
Good,good ,2
It is unable to open pick me but why,unable open pick ,0
I'm im ml ik no k,,
Good,good ,2
terrible cab service in the sri lanka. And terrible for foor ordering.,terrible cab service sri ,2
✋😌,raise hand relieved face ,2
Lm,,
There is never a driver,driver ,2
User friendly.,user friendly ,2
FRIENDLY AND EXCELLENT SERVICE.,friendly excellent service ,2
Super,super ,2
higer travelling rates compares to uber and workers are not quality. and also they have added delivery charge. we have to wait for hours to deliver something. better they pay us for wasting time. map also poor,quality add delivery charge wait deliver well pay waste time map poor ,1
The most lagging app not working at all,lag app working ,0
"App crashes on Huawei mate 8. Updated reinstalled,restarted. No solution.",app mate no solution ,0
Very very useful app,useful app ,2
"Ordered food....did not give option to claim discount, also check-out button missing and the order was placed!!!! Skipped at least 2 steps",order food option claim discount check button miss ,0
This app is very useful for all of us.,app useful ,2
Ok,,
Worst service Don't order food from here it's a disaster They take at least one and half hour to deliver the food,bad service don order food disaster half hour deliver ,2
So good,good ,2
App worked for 2days and now it is not working. It says to on the location service but even though i on it the app continues to say on the location and the app is not working🙁,app work day location service slightly frown face ,0
Phone number field loses focus when trying to register. Can't enter phone number. Unusable.,phone number field focus try register enter unusable ,0
Nice,nice ,2
amazing service to me 💃💃,amazing service woman dance dancing ,2
Love it,love ,2
Really bad experience. The driver asked 3 times the price agreed and we also paid all the highway tools.,bad experience driver time price agree highway ,2
good,good ,2
👍,thumbs ,2
Drivers on Negambo road sometimes refuse to come to surtounding areas such as Dolahena Road,road refuse come ,2
0 customer service. They never pick up a call for the food,customer service pick food ,0
Need more improvement,need improvement ,1
Wrong maps,wrong ,0
Very good,good ,2
The driver asked me to cancel the trip and I refused. He didn't arrive at all,driver cancel trip arrive ,2
Taking extra amount of money saying for booking charges . Drivers are sometimes unfriendly and unfair when asked about the extra amount they charge. Also it's misleading when Drivers are too busy appears so it takes a lot of time to connect a driver .,take extra money say book unfriendly unfair charge mislead busy lot time connect driver ,2
In December I got a service from your company from Kadawatha to Colombo. I was charged up to 54km for this. But actually there is only 27 km. I have complained about this to the company but no one has responded to it yet. This is how much money people take. We are ignorant,get service company km actually money people ignorant ,2
terrorist supporter and spying on drivers Also has stopped charging for waiting time. Misusing poor drivers,terrorist supporter stop charge wait time poor ,2
Good app,good app ,2
Good,good ,2
Such a stupid app Customers are cheeters They even don't know to use a phone,stupid app know use phone ,2
Good,good ,2
Location update is worse...,location update bad ,0
One time when I order some food one food item was missing there is no option in the app to complain in pickme food please add a option to report incidents and when will be flash available in Kandy and when you add a promo code does not show the discounted price,time order food item miss option app complain add report flash available code price ,1
Wow but 😩😩😩😩😩😩,wow weary face ,2
what s this i m hate this app never work in time alwaya tube light hhhhh,hate app work time tube light ,2
"Misleading. It says ""All drivers are busy"" when it can't find a taxi. No taxis appear on the map. But it continues to search for drivers in the background. This happens even after you close the app. I get phone calls from drivers saying they are waiting for me half and hour after I initially tried to book a taxi. Not only is it an inconvenience for the user but also the driver who expects a fare.",mislead busy find taxi no appear map search background close app phone say wait half hour initially try book not inconvenience user driver fare ,0
Good,good ,2
Not available in my area.,not available area ,2
Worst app ever. Drivers are too late and drivers don't know the correct location,worst app late know correct location ,2
Good,good ,2
Thank u,thank ,2
Awesome Congratulations and keep it up,awesome ,2
Good ap of srilanka,good ,2
"App will quote you a fare and route, driver will take different route and charge you tolls and additional fees for taking another route. Raise complaint and they will claim it is not their fault nor the drivers. Terrible professionalism and customer service.",app quote fare route driver different charge additional take raise complaint claim fault terrible professionalism customer service ,0
Very good! but no riders,good ,2
Very fast taxi sri lanka,fast taxi sri ,2
"Once the app can't find a driver it gives you a screen that says All drivers are busy. This is misleading, because the app is actually looking for drivers in the background. There have been multiple instances where drivers have called me 20 or 30mins later after arriving at the location, but I had already left and am not in that location. This is quite inconvenient. I don't expect this substandard UX from an app like this.",app find driver screen busy misleading actually look background multiple min later location leave inconvenient expect substandard like ,0
"Not working on the new phone, it does not allow me type the phone number and start",not work new phone allow type number start ,0
Avarage,,
"useless service , no vehicles in everywhere 🤢",useless service nauseate face ,2
Very good,good ,2
Good,good ,2
Very good app and Very useful,good app useful ,2
There are some errors in track drivers please fix it,track fix ,0
Super but some times out of the service,super times service ,2
Safe journey,safe journey ,2
The grate app.to official app.i like this,grate app official like ,2
😉 😬😬😬☝️☝️😤,wink face grimace index point steam nose ,2
Nishantha R I nishantharu,,
"Stupid App! Map is Not Working Propely. When you need urgent ride, do not use this. Try something else or take bus cause it's more easy than this!",stupid app map not work need urgent ride use try bus cause easy ,0
On time great service,time great service ,2
"Bad customer service ,no refund after a whole week",bad customer service refund week ,2
Crazy drivers cheaters lost my phone,crazy lose phone ,2
Terrible bad drivers crazy man,terrible bad crazy man ,2
Terrible,terrible ,2
OK thnx,,
Good,good ,2
Good but very late on food orders.. And i would like to say pickme app team. A big thanks and please try to add transport to longer distance for food from kandy to digana or Teldeniya or balagola. We at kandy - kundasale District people need pickme too please arrange us some food delivery... And app will hang at ordering food.. After conformation we can operate till that freezing.. Some order's are delivered after 40min its too long for a foodie like me,good late food like app team big thank try add transport long distance district people need arrange delivery conformation operate till freeze order min ,2
Superb app . Highly recommended.. 5 strs,superb app highly ,2
Ok,,
Not recomended.some drivers doing accident porposly. Extreamly cannot trust drivers.,not accident trust ,2
Pick me was very good in the past. But now it is exploiting money. hate this app.,pick good past money hate app ,2
"Appalled at the professionalism at PickMe. I had a horrible experience in November and to date I have not received a proper response from Pickme on either their app or even their phone or Email channels. I initially made a complaint on the app and had to call two or three times after a week to get them to actually check it to which they replied ""under investigation."" From that point I have almost weekly or bi-weekly called for an update to which I get the run-around.",professionalism horrible experience date receive proper response app phone initially complaint time week actually check investigation point weekly update run ,2
Very good,good ,2
A best app,good app ,2
Good,good ,2
"I am from India, travelling to SL in Jan. i am not getting the OTP, Support not replying to email either. Not sure how to login.",get support not sure login ,2
Good,good ,2
Good,good ,2
Good service,good service ,2
Cool thing,cool thing ,2
Good for travelling.,good ,2
Good,good ,2
Please enable an option to write a review about the ride where driver also can see that feedback. You have only provided the complaint option.,enable option write review ride driver feedback provide complaint ,1
Gegue,,
This app is very important to our life,app important life ,2
Very good,good ,2
Great service,great service ,2
Good,good ,2
Couldn't apply promo codes,apply ,0
Useful good,useful good ,2
Your app is broken.. It used to work fine but now when I try to order food every restaurant is somehow busy.. Do not install this app!,app break work fine try order food restaurant busy install ,2
I love this app.this app super.and better other app,love app super well ,2
SUPER,super ,2
Best ride,good ride ,2
Happybirthdaycake,,
👍,thumbs ,2
Please don't use this app. It's highly unreliable. I ordered food and the driver went to the wrong place and my card got charged the full amount. When I tried to complain they said driver said I'm uncontactable and then cancelled the order so it's my fault. I was never uncontactable. In fact the driver's number in the app was incorrect and I couldn't contact him at all despite many attempts. Uber Eats costs slightly higher but their service is much more reliable. Please use that.,use app highly unreliable order food driver go wrong place card get try complain say fault fact number incorrect contact despite eat slightly high service reliable ,0
Supper,supper ,2
Tried to use the app to book a taxi to the airport at the end of our holiday. Didn't recognise my UK mobile phone number so was unable to. Emailed support but no reply,try use app book taxi airport end holiday mobile phone number unable support reply ,1
good 👍,good thumb ,2
Best app in sri lanka,best app sri ,2
Good,good ,2
There are messages on offers that pop up but cannot see the offer on the app,pop offer app ,2
Good,good ,2
PROMOTION CODE PENNANNE NA.,promotion code na ,0
This is a good app,good app ,2
This app doesn't work properly,app work properly ,0
Herath,,
Disgusting,disgusting ,2
an easy app. consists of transportation food etc.,easy app transportation food ,2
Really help with pick me app,help pick app ,2
Awsome,,
Full of scammers. I've had 3 out of 3 bad experiences. First the driver arrived and told me he had a technical difficulty (he had clearly logged out of the app and was just tapping on the login screen). He clearly wanted us to cancel and pay cash directly to him. Then we had a journey that seemed fine but I got a call to say I had underpaid. Seemed dodgy. Then a driver called ahead to say he had a new car and so his number plate was different. Also you can't tip. Stick to Uber.,bad driver tell technical difficulty clearly log app tap login screen cancel pay cash directly journey fine get underpay dodgy ahead new car number plate different tip stick ,0
Nice,nice ,2
Good,good ,2
first time,time ,2
Fine,fine ,2
So good,good ,2
very easy travelling 🏉🏉⚽⚽⚽,easy rugby football soccer ball ,2
It helps me a lot👌,lot ok hand ,2
Very good 👍 app,good thumb app ,2
Ok,,
good,good ,2
Super,super ,2
"Very Good. After selecting the food, map has bugs in resizing. Cannot add more than 1 location of taxi designations to show maximum journey distance for driver to accept",good food map add location taxi maximum journey distance driver accept ,2
"එක trip එකකින් පස්සේ ඇප් එක uninstall කරලා නැවත install කරලා තමයි පාවිච්චි 
කරන්න වෙන්නේ අනිත් එක driver ගේ informations මොනවත් පෙන්වන්නෙත් නෑ me 
issues tika poddak hadanna.ehema nethiwunoth e hire ekata maruwenna wenawa",trip install driver hire ,2
"There is no ""Go"" option to Make a SEARCH in this app for food delivery",option search app food delivery ,1
Great,great ,2
Best app in Sri lanka,best app sri ,2
government eken tax adu karala tuk tuk vala price adu karanna kivva neda? ay me oyalage thavath price vadivela? ada venadata vada rs20k vadi una hire ekata.. start karanna kalin rs78y pennuve hire eka end unaama 100y.. ehema venne kohomada? hari nam tax adu karapu nisa 65kata vath yanna oni... meka ikmanata adu karanna naththan adaala ayathanavdanuvath karala api mekata viruddava kriya karanava ikmanata price adu karanna tuk tuk vala..,government tax price ay hire start rs end nam kata ,2
Showing very long routs instead of shortest one. Please let us change the rout automatically selected by the app.,show long instead let change rout automatically select app ,0
MashaAllah,,
The drivers are always asking the pickup location when i tell them to come to the pickup location on the map they are always asking for directions by calling plese fix this,pickup location tell come map call fix ,1
Nill customer care service.,customer care service ,2
Goood,,
Disgusting,disgusting ,2
Too many drivers calling and asking the location and cancelling. Worst service. Won't use again.,call location bad service win use ,2
Good,good ,2
Pathetic app. My screen freezes frequently with your advertisements & greetings. I use android.,pathetic app screen frequently use android ,2
Good app😀😀,good app grin face grinning ,2
Best,best ,2
The pickme app has gone bad to worse and terrible. Same trip with similar distance the app shows different kms and hence higher charge. Drivers after accepeting a trip keep silent and when called upon they say they are in a far away place and cant come asking us to cancel. Very poor customer care with no agent to talk to. This service should be banned in Sri Lanka and give the cheated money back to customers.,app go bad terrible trip similar distance different high charge silent far away place not come cancel poor customer care agent talk service sri money ,2
Very satisfied,satisfied ,2
Drivers are not taking the short rides,take short ,2
Good,good ,2
👍👍,thumbs ,2
Driver standards need to be improved. Most of the drivers are not professionals. Sometimes bad discipline and not aware about offers given by PickMe. Some call and ask for the destination and ask to cancel. Some ask weather its a card payment and if a card they ask to cancel. Food delivery part needs to be improved a lot considered to the other competitors. But it is useful most of the time and overall helpful app,driver need bad discipline aware give ask destination cancel weather card payment food delivery lot consider useful time overall helpful app ,2
One karana welawata tuk ekak hoya ganna ba meke dana dana weleta driversla busy ne. Tikak driversla gana wadi kara ganna. Eka nosa thama one stardunne.oyalage app eka gana api gidk hopes thiyagena inne.,ba busy ne wadi app ,2
Good job,good job ,2
Huththe app eka..gamanak yanna hadaddi meka update karannalu..nodakin..හැදි ගෑවිලා පල,app update ,2
ත්‍රිවිල්රථ දිස්වන්නෙ නැත.,,
Thank,thank ,2
Best,best ,2
This app continuously restarting. Unable to book a ride. Even if I uninstalled and reinstalled same problem is there. Very rarely I can book a ride using this app. No use of at all.,app continuously unable book ride uninstalle problem rarely no use ,0
Extreamly not recomended,,
Hot and past,hot past ,2
Great,great ,2
Some option not working properly. And we cant get past total earnings. Showing only current day,option work properly not past total earning show current day ,0
Ammata hukapiyau,,
Very Good service,good service ,2
"I've been using pickme since it was launched. And with my overall experience I will never reccomend it to anyone especially women! They (Pickme) dont care about the driver, they just give anyone, the job. There are soo many pickme drivers who Drive recklessly (most of the young drivers) and they charge more money than it shows and when u tell that, they will shout at you. So please fix. The only! only! thing which I like about this app is that it is very user friendly.",overall experience especially not care driver job drive recklessly young charge money tell shout fix thing like app user friendly ,1
Excellent,excellent ,2
Good service,good service ,2
Good,good ,2
Excellent,excellent ,2
Patta,patta ,2
Pick me is very best app I like this app,pick good app like ,2
very very good,good ,2
Good,good ,2
Good,good ,2
Operations confusing not clearly stated.,clearly state ,2
Another great sri Lankan taxi app.#1 in SL,great sri taxi app ,2
The best taxi hailing app plus food delivery and courier services are also available.,good taxi app plus food delivery courier available ,2
Terrible! No taxi cars after 10PM in Colombo 5,terrible no taxi pm ,2
No vehicles.,no ,2
The promo code that came in the notification is no where to be found. Stupid,code come notification find stupid ,2
Good..,good ,2
good,good ,2
bad,bad ,2
Super service in Sri Lanka,super service sri ,2
It always give unexpected error when try to checkout .,unexpected error try ,0
Akahabsb,,
"Nice Service, Bit Expensive",nice service bit expensive ,2
Excellent,excellent ,2
"Satisfactory. But Some refuse short hires, grimble on traffic jams etc",satisfactory refuse short traffic ,2
Cant use these apps why,not use ,0
Mrs hussain,,
Superb,superb ,2
👎,thumbs ,2
Can't download,cannot download,0
Superb,superb ,2
Pick Me lite for internal small capacity memory smartphone I can't install Pick Me because my Phone one RAM only,pick lite internal small capacity memory install phone ram ,0
Good,good ,2
Super bro,super ,2
Very nice app,nice app ,2
Good,good ,2
I love it,love ,2
Good service,good service ,2
This app is really effective when we are in need of a vehicle or we can even get our food when we tell them but sometimes it gets stuck and when we cancel the driver cuz driver may be too far and book another one the same person gets booked so... I think they need more drivers.,app effective need vehicle food tell stick cancel driver far book person think ,0
uber eats is better than pickme food,eat well food ,2
Very good,good ,2
I can open this app,open app ,2
Good,good ,2
Good,good ,2
this is a very good app,good app ,2
Good and useful app👍,good useful app thumb ,2
best app for traveles,best app ,2
Very prompt and reasonable rates.,prompt reasonable ,2
Corp. Reach Support References Required,corp reach support ,2
Good,good ,2
Pick me is not showing the exact location of the vehicles even if i have good internet connection plz improve it.,pick show exact location good connection improve ,1
"I've been using this app for more than a year, it had a poor rate of drivers picking up a ride now its worse, morning's & evenings no rides available during office hours. The app shows ride availability in 5 min, 7 min, etc. Misleading customers, but no rides available, plus shows that its searching for a ride for so many minutes and after so many minutes it says no rides available 90% of the time or the driver is coming from a distance of 4 to 5 Km away.",app year poor rate ride bad morning available office availability min misleading plus search time driver come distance away ,0
Greatvservice,,
Worst always says drivers are busy,bad busy ,1
Excellent,excellent ,2
Excellent app. But sometimes promo code is not working. Plz fix this problem,excellent app code work fix problem ,1
This app is really useful and user friendly. Drivers behaviour also so good. I am using this app more then 1 year. I am happily recommending this app to every one.,app useful user friendly behaviour good year happily ,2
"Tried contacting support on my issue since the app only works once and then stalls and I have to reinstall the app for it to work. Payment structure is flawed. If a card does not work, by default it switched to cash without the option of giving the user to switch.",try support issue app work reinstall payment structure flawed card default switch cash option give user ,0
Useful app,useful app ,2
Great Great meeting people poo I going 3rd=gig gnu in (650,great meeting people go rd gig gnu ,2
"I had a great experience so far but the app always shows my location in a wrong way, and also one of your drivers were very rude and he cancelled the trip before I could report. But mostly the app is great, I'd rate 5 stars if you guys fix the location problem.",great experience far app location wrong way rude trip report rate fix problem ,1
Good,good ,2
Great,great ,2
Excellent,excellent ,2
"I have been using pick me for 1 year but in recent time i update it.now it doesn't work...there is a mesg "" google play store error ""and i cant book a ride...after update the app gone bad",pick year recent time update work play store error not book ride app go bad ,0
This app crashes in my tablet Samsung A10,app tablet ,2
Its the best but its offers do not come always only in seasons,good come ,2
Very good,good ,2
when you add a promo code you dont see the discounted price in pickme food make it correct it is the only issue with this app,add code not price food correct issue app ,0
"Very very poor service. The app is going crazy would be the right way to say it because even when the driver has cancelled the trip, without even me booking another cab I got calls from several other drivers asking if I booked a cab. That is very annoying especially when the drivers are not cooperating. You either fix the app and get the drivers sorted or freaking remove the damn thing.",poor service app go crazy right way driver trip book cab get annoy especially fix sort remove damn thing ,1
I just wona know- way sometimes price is going up on end of the trip? I was make booking for 480 rupia but end of the trip price grow 580rupia. Why????? More I use more I upsed!!!! Two drivers didn't come on order. Uber is better,know way price go end trip book rupia grow use come order better ,1
Hi there,hi ,2
good,good ,2
Excellent,excellent ,2
Good,good ,2
Like app,like app ,2
"This app used to work okay, but its faulty now. It cannot identify the shortest path and suggest to take longer way even with 0 traffic in both roads. Then charge for the suggested longer path, even if we choose the shorter quick road. Charged me 472 LKR for only 5.5 Km by tuk tuk. It should be around 220 LKR. I requested a refund and received it as Pickme points after few days. The same thing happened again, this time charged 383 LKR for 210 LKR trip. Raised a complaint again.",app work faulty identify path suggest long way traffic charge choose short quick road refund receive day thing time trip raise complaint ,1
"2019/11/03 - I updated. After that many functions are not working well. Errors are occuring often. Showing wrong location. some time, can't place the order(when I checkout, it is showing - ""hotel is in a long distance. choose near hotel."" but, it is wrong information. some time it is showing- ""we are coming soon to your region"". but, I am in usual place where I use pickme regularly. And , add a button to cancel the order if the order was not accepted by any driver for a long time.",work show wrong location time place order hotel long distance choose near information come soon region usual use regularly add button cancel accept driver ,0
Discount codes doesn't work,discount work ,0
How take bate,bate ,2
Good,good ,2
Ok,,
"A great app, which offers alot of promotions. 10/10 would recommend this to anyone. Useful at almost everytime. But rarely connects a driver cery far away. But overall it is very useful. Thanks pickme.",great app recommend useful rarely driver far away overall thank ,1
it have bugs in food oder section,food section ,0
GREAT,great ,2
Very interesting ride and very good,interesting ride good ,2
Watapuluwa,,
Pick me.sri lanka,pick sri ,2
I'm,,
Very good,good ,2
