text,Preprocessed_text
"Worst service. Driver wantedly didn't enter otp while starting ride. Even after complaining about driver, didn't solve the issue. And I payed the penalty for it.",worst service driver enter starting ride even driver solve issue and i payed penalty
Delhi service verey bad fair problem example booking time fair 300 but dropped time 435 why,service bad fair problem example booking time fair time
You need to fix your prices one minute I check how much a cab would be to go 2 miles and it sat 4-6 pounds next minute when I go to book its saying 16-20 pounds,you need fix one minute i check much cab would go sat next minute i go book saying
A different driver came to pickup and did not know the route i had paid It cash as per app which was 288 and driver asked for 200rs cash to fill gas and did not return to me and the app chargede extra as well making my total bill 320. However on whole i have paid 488rs just for that ride. Extremely pathetic service unable to raise complaint either. I need my money or call back from your team,a different driver came pickup know route it cash per app driver rs cash fill gas return app extra well making total bill however whole rs ride extremely pathetic service unable raise complaint either i need money call back team
Can not find nothing in this app. Havent any support to ask or complain about not fair charging for trip one way cost 4 pounds the same way back no trafic over 8pounds can see reason to charge 8 pounds for 2 miles ride. Where to claim? Is on the app nothing about. This is only 1 example have more issue about.Finaly found here under to support email,can find nothing app havent support ask complain fair charging trip one way cost way back pounds see reason charge ride where claim is app nothing this example issue found support
"Worst customer support. No proper Response from customer care. I had problem in login with my mobile number , shows number blocked...",worst customer support no proper response customer care i problem login mobile number number blocked
Does not let me add credit card what so ever I have contacted It 5x and still the same response with no solution to my problem. Very poor customer service,does let add credit card ever i it x still response solution problem very poor customer service
Hate this app.. they don't have any Customer service supports. They've charged uselessly 150? and they're not resolving my problem.,hate app customer service they uselessly problem
My It app is not working can anyone help me,my it app working anyone help
Search option only not working failed service,search option working service
It gps turned off error,it turned error
"Your cab services are getting worst day by day. At one of the most prominent location (Delhi Airport) in non-peak hours, you still have zero cab availability across all categories. I could see frustration among all those who were trying to book, and a deserted pick up point within 10 mins. I hope you take a note of it, else your poor services and logistics will confine you to become a history among cab services operators.",your cab getting worst day day at one prominent location airport non peak still zero cab availability across i could see frustration among trying book deserted pick point within i hope take note else poor logistics confine become history among cab
Very bad exprnc... This app wont wrk properly when we try to take driver details or to cancel antly ride. Worst app. This issue im gtting multiple tyms,very bad this app wont properly try take driver cancel ride worst app this issue multiple
"They can change the fares at their whim even if the route was as shown by them without any deviations. Their surge pricing can be added without proper notification of the possible increase in amount. Fare may be higher gives them the liberty to charge higher amounts according to their will. Additionally with a pass, the price shown is triple than normal fare shown in an app without the pass for the route. Do not buy pass. They show promotions, but when applied it is always invalid.",they change whim even route shown without their surge added without proper notification possible increase amount fare may higher liberty charge higher according additionally pass price shown triple normal fare shown app without pass route do buy pass they show applied always invalid
Don't use It.. It provides worst service.. Customer support will not help to solve issue instead avoid receiving calls..,don use it it worst service customer support help solve issue instead avoid
I cant use this app on my Samsung galaxy j8 mobile while I enter phone no it shows error ( the It app is not available for use on this contact support for more ),i cant use app galaxy j mobile i enter phone error it app available use contact support
"App doesn't work. Arranged a pick up. The app said the driver was 4 minutes away. When the app told me the driver had arrived he was actually still a few miles away. I rang the driver. He was polite, but didn't know where he was. Asked where I was and the easiest way to get to me. Then asked me to cancel the booking as it would have taken him too long to get to mine. I'm sticking with Bolt, cheaper than Uber and at least they can run a service.",app work pick the app said driver away when app told driver actually still away i rang driver he polite know i easiest way get then cancel booking would taken long get mine i sticking bolt least run service
Unable to login even after ivr Cal... pathetic!!,unable login even cal pathetic
"Very unprofessional and liars cab service in India. Problem is no value of words. It overcharged me Rs 895 in Nov 2019. I sent them mails and they acknowledged to return my money. They asked for bank account details, i did. They asked to update KYC , i did that also. Its 20 Feb 2020, i have not received my refund. I have written number of mails , spoken to customer care but all for no result. False promises, false assurance of resolve within 24 hrs and thereafter no result. Uber anytime better.",very unprofessional cab service problem value it i sent acknowledged return money they bank account they update also its received refund i written number spoken customer care result false false assurance resolve within thereafter result better
"I have been using It share regularly for the past two months. And I have to say the service is really poor. Cab drivers simply cancel the ride even after 10-15 mins of booking. This has happened many times. I have raised this issue in ""Support"" section but their is no change. Also,there is no point in trying to contact their customer service. ""The next customer service executive"" will not be avaialable before your call gets disconnected automatically.",i it share regularly past two and i say service really poor cab simply cancel ride even booking this many times i raised issue support section change also point trying contact customer service the next customer service executive call disconnected automatically
For use It is good ...but worst system to recover the password and It support is also lazy in work .... my account password forget hence try to recover it by taking call verification process after complete as per process it will hang every time ....it means If forget your password then your account also lost and no any response from It support after sending issue.... Hence other app is service not good than It but Atlest they have immediate response from customer support .,for use it good worst system recover password it support also lazy work account password forget hence try recover taking call verification process complete per process every time if forget password account also lost response it support sending issue hence app service good it immediate response customer support
"This app Is stupid to it's very core has so many bugs in it that it's just impossible to use it takes an eternity to find the cab and keeps looking for the cab and confirms the booking even after you've closed the app, the whole reason of closing an App is that I no longer require the cab and I have to cancel the ride and Pay cancelation the next time I travel redundant.",this app is stupid core many impossible use eternity find cab looking cab booking even closed app whole reason app i longer require cab i cancel ride pay cancelation next time i travel redundant
very useful...but sometimes after booking; after we are ready at that time the cab driver cancels the ride.....but that's not a problem.. a very usefull app for travellars...keep going!!!!,useful sometimes booking ready time cab driver ride problem app keep going
Very badly built application riddled with bugs. Customer support is equally unsatisfactory.,very badly built application customer support equally unsatisfactory
"The app is buggy and the drivers are deadout, customer support isn't great neither.",the app buggy customer support great neither
Never works,never works
"Every time it is asking for kyc, my balance It money expired. It is not right. Drivers are unable to do kyc.. I have already done kyc,then also kyc asked.",every time balance it money it right unable i already done also
Not working,not working
"I have been trying to book a cab since the last two days and I have heard the most absurd reasons for not taking up the duty. From I won't accept It Money to I won't go there cause of a traffic jam. Pathetic service. Plus, I have not received any response from It even after reporting the driver related issue.",i trying book cab since last two days i absurd taking duty from i accept it money i go cause traffic jam pathetic service plus i received response it even driver related issue
"Be greatful mofos, free rides on signup However dear app makers, STOP placing me in india for a pickup location. Im in the UK!! It also crashed quite a lot.",be free however dear app stop pickup location it also quite lot
"A lot of times it just shows double or triple the actual price (although it's not the peak time) as the estimated fare. Sometimes only a 5 minute traffic jam causes the bill to double that of the estimated fare. App is smooth but monetary features are just worse, plus the support team does nothing. Hope all these things gets fixed. Update: Now It has improved the monetary features and generates accurate bills according to the situation.???? The first problem still occurs sometimes though.",a lot times double triple actual price although peak time fare sometimes minute traffic jam bill double fare app smooth monetary worse plus support team nothing hope fixed update now it monetary accurate according situation the first problem still sometimes though
"Got a notification that It is now starting in London. I hope that people there will have the same experience. Logging in, trying to find a cab, never finding one, moving to another can aggregator after getting frustrated. Good luck with disappointing more customers.",got notification it starting i hope people experience logging trying find cab never finding one moving another aggregator getting good luck disappointing
Often issues seen with payment option ...i.s.o of pay it will show as change (option),often seen payment option pay show change option
"Pathetic money makers, charges inappropriately with fake ride charges before booking and takes more money after ride ends, doesn't refund money saying limit exceeds for the month even if you haven't requested refund before. Cancellation policy doesn't work, calls can't detect login attempt, will stop using your service from today...",pathetic money inappropriately fake ride booking money ride refund money saying limit month even refund cancellation policy work detect login attempt stop service today
Very bad service provided by you not a single time It cab doesnt book while trying to book from last 6 months everytime the app consumes time for finding driver. why mini and micro Its are not provided by you everytime am getting no respose when I go for micro or mini. are you reduces the quantity of mini and micros? kindly provide better service this is not expected for you.,very bad service provided single time it cab doesnt book trying book last app time finding driver micro its provided getting i go micro quantity kindly provide better service
I tried to book It auto for more than half an hour in chennai annanagar but i didn't get. It didn't help during urgent time for customer. It need to look this issue.,i tried book it auto half hour get it help urgent time customer it need look issue
"Never been able to actually find a driver. Either there are none around, or I just get stuck trying to connect to drivers with no success.",never able actually find driver either none around i get stuck trying connect success
"Horrible app experience when it comes to payments, I cannot make online payments during my trip can't see support for this issue the app is asking me to make the payment in cash uber is doing a better job with ux, I think I will switch to uber permanently",horrible app experience comes i make trip see support issue app make payment cash better job i think i switch permanently
Worst experience Drivers cancel the trips! We are charged for that. Even there is a problem in locating the locations,worst experience cancel we even problem
"The worst app and worst exp. The drivers are thief. I left my wallet in the cab and since then I'm trying to connect with them, the call never gets through. Very pathetic.",the worst app worst the thief i left wallet cab since i trying connect call never very pathetic
Just getting errors on errors of NOT RESPONDING,just getting not
Bug ... doesn't show cab face mico and mini ..its searching and searching,bug show cab face mico searching searching
Unable to login with my registered phone. Not receiving verification call from It.,unable login registered phone not verification call it
New updates have many errors. Actual vehicles are available in front of me and app says no vehicle available.,new many actual available front app vehicle available
It doesn't work on Samsung S8+.,it work s
"After last update, it's not working on mobile data (3g).",after last update working mobile data g
The fares are low and the range of choices available is good. But every time you make a booking you end up being called by a driver with broken English and desperately trying to explain where they need to pick you up from. Then when they pick you up you have to explain where to drop you off again. What's the point of specifying pickup and dropoff locations if the drivers can't read maps?,the low range available good but every time make booking end driver broken desperately trying explain need pick then pick explain drop what point pickup read
Updated version is very faster than previouse version!no lagging issue..i loved it,version faster version lagging issue
Soon after the last update. I can't book a Tuk Tuk.  As its asking me to recharge the points.  But I couldn't use my debit card as it's keep failing every time I tried.,soon last update i book as recharge but i could use debit card keep failing every time i tried
"This app is very usefull. Can find tuks easily. But the issue is that the navigation map or pickup map should be made more accurate . Other than that, all goes well.??",this app can find easily but issue navigation map pickup map made accurate other goes well
"There is a problem on the app,that is for tuk. When the passenger place a booking close to highway,the map of the app shows the route to the destination via highway. Already informed them but the error is same.",there problem app when passenger place booking close highway map app route destination via highway already informed error
No vehicle in kolonnawa area in the morning.pls fix,no vehicle area morning fix
Serious connectivity issues. Tried 15min to set a pick up location. Gave up and Uninstalled.,serious connectivity tried min set pick location gave uninstalled
"I have been a regular user in It. I will give you five stars after 
fixing the following issue. There is no customer care hotline service to 
communicate with a person directly to do complaints. Still my complaint has 
not been reviewed. So disappointing.",i regular user it i give five fixing following issue there customer care service communicate person directly still complaint so disappointing
"Why doesn't pick me app add card payments when I enter the card details? It 
says request failed after I enter all card details.",why pick app add card i enter card it request i enter card
"I need someone to contact me since even though my location settings is on, 
I keep getting a error message requesting to enable location services. 
Uninstalled & installed again but nothing. Losing a loyal customer here.",i need someone contact since even though location i keep getting error message enable location uninstalled nothing losing loyal customer
"Does not show the rates during peak times. This is not a bug but I think 
purposely not showing the rates to cheet the customers.. Switching to 
Uber.. they are cheap and importantly their rates fixed...no hidden rates 
like It..",does show peak times this bug i think purposely showing cheet switching cheap importantly fixed hidden like it
App crashing. not opening.,app opening
"Latest update is a failure.. promo codes are not working.. even after 
entering promocodes it shows same amount without promocodes..",latest update failure working even entering amount without
App doesn't work properly sometimes.,app work properly sometimes
"I cannot add my second credit card.. error msg displays 'request failed' 
when verify second card.. also cannot add same credit card in two devices, 
same error appears..",i add second credit card error request verify second card also add credit card two error
This application is full of bugs,this application full
"What a terrible app! Unable to connect to drivers at times. Freezes too 
often.",what terrible app unable connect times often
"Poor QA, No one is testing this on latest Android. App doesn't work",poor no one testing latest android app work
sometimes the app crashes...It's not reliable..,sometimes app it reliable
"Great work but my app suddenly stop and I install it again..... but now app 
not working even I cant complet the first step enter phone number as a true 
customer its a grate fall",great work app suddenly stop i install app working even i cant first step enter phone number true customer grate fall
"The app is not working. I worked well for past few days. I updated it and 
still didn't work. I uninstalled it and installed it back now it's not 
vertifying my number. Please take immediate action as i travel a lot using 
Pick Me",the app working i worked well past days i still work i uninstalled back number please take immediate action travel lot pick me
"The app doesn't work now saying no internet connection. Over that no one 
answers the phone to book a taxi. Ruined it. Take immediate action",the app work saying connection over one phone book taxi ruined take immediate action
Again app is not working .. please fix is soon ..,again app working please fix soon
"this stupid app doesnt work when you need it most. It just keeps on loading 
and i tried reinstalling it. Then they asked my phone number and still 
doesnt work",stupid app doesnt work need it loading tried then phone number still doesnt work
"The app is not send me sms and it's not working even connected to the 
internet",the app send working even connected
not working properly??worst update.,working properly worst update
app getting crashed when selecting the loaction and confirm.,app getting confirm
"best service so far. sure it's got a few issues but what is perfect today.. It should introduce ""return trips"" it saves a lot of conversation time with the drivers and will encourage them to accept the hire coz it's both ways",best service far sure got perfect today it introduce return lot conversation time encourage accept hire coz ways
the Apple keeps crashing when I try to select a location which I have added to favourites,apple i try select location i added
"App is crashing after the update, Please fix it.",app update please fix
After the latest update. It crashed during loading information process. . please try to fix this issue,after latest update it loading information process please try fix issue
Very poor update..i can't see driver or my locations.,very poor update see driver
This app has big issues and after today I might stop using it all together. The most important thing to fix is for the user to cancel a trip when the driver already marked the user as inside the car. One driver racked up 17000lkr of fees as he didn't mark the trip as finished in his app. Had I been able to mark it as ended it would not have been such an issue. The original trip was for 200lkr,this app big today i might stop together the important thing fix user cancel trip driver already marked user inside car one driver lkr mark trip finished app had i able mark ended would issue the original trip lkr
"please update our actual address rather than showing the area common address and please update us from which area the driver comes to us if not drivers scolding to book them when they are too far to pick up us and keep on telling that this hire is futile for them show us the location rather than showing ""location fetched""",please update actual address rather showing area common address please update us area driver comes us scolding book far pick us keep telling hire futile show us location rather showing location fetched
Your pickup and drop location selection is a huge mess. Sometimes software took my drop location as the pickup location. Sometimes no drop location was selected. Please update this.,your pickup drop location selection huge mess sometimes took drop location pickup location sometimes drop location selected please update
Only feature I would like to request is to be able to leave feedback to a driver after a trip has completed.,only feature i would like request able leave feedback driver trip
Need more improvement,need improvement
One time when I order some food one food item was missing there is no option in the app to complain in It food please add a option to report incidents and when will be flash available in Kandy,one time i order food one food item missing option app complain it food please add option report flash available
At the start It was great but now the drivers seem to ignore you on your pickup location and go ahead to your destination and charge you for a trip you didn't take. I've had this experience on 2 occasions and I didn't receive a response for my complaints from It at all. Obviously the way you treat your customers is absolutely poor and this is why I'm giving a 1 star rating and really wish I could give no rating at all because your service and response is hopeless.,at start it great seem ignore pickup location go ahead destination charge trip take i experience i receive response it obviously way treat absolutely poor i giving star rating really wish i could give rating service response hopeless
"Pick me food is very good and less expensive but drivers find hard to find the delivery address, need some improvement in finding location.",pick food good less expensive find hard find delivery address need improvement finding location
It's an awesome app...Loved it?Very useful...Great service!Tysm for ur wonderful service??I would surely suggest everyone about this app?,it awesome app very useful great service ur wonderful service i would surely suggest everyone app
"They should know to use pick up using my location. And not to ask me describe the location. Update: 22/10/17. More drivers are able to arrive on pick up location using in app navigation. (thanks). But still, more than 95% don't use Google maps for navigation. And takes their own routes. So I suggest all pick me drivers to be trained to use google maps to ride.",they know use pick location and ask describe location update more able arrive pick location app navigation thanks but still use navigation and so i suggest pick trained use ride
"Terrible. I needed a ride from a remote area to the airport at 2am, so I used It's ""Book Later"" feature to schedule a pickup (10 hours in advance). I promptly received an SMS confirming my booking, and the details were also listed in the app under ""My Trips.""  2am came around and there was no car in sight. My booking magically disappeared from the app, with no cancellation notice, in spite of the confirmation they sent me earlier.  No one answered their customer support phone number or email address at the time and still now, a full day later.  I could've missed my flight but luckily I found a local taxi company that was still open and agreed to take me.  What a disastrously poor service. If you need a reliable transportation service that will be there when they say they will, I suggest you look elsewhere.",terrible i ride remote area airport i used it book later feature schedule pickup advance i promptly received confirming booking also listed app my came around car sight my booking magically app cancellation notice spite confirmation sent no one customer support phone number address time still full day later i could flight luckily i found local taxi company still open agreed take what disastrously poor service if need reliable transportation service say i suggest look elsewhere
It available in thihariya also.. thank you..love the new update. thank you for taking heed to our suggestions. All e best,it available also thank love new update thank taking heed all e best
Please can you add old galle road in location map. Doesn't have old galle road from moratuwa to panadura I have to come moratuwa junction book a car,please add old road location map old road i come junction book car
Your service is just disgusting. No one picks the rides in peak times or at night even after 7pm. What the hell. Uninstalling this. No point of having an app without any use. Please add staff who can be committed to their job.,your service disgusting no one peak times night even pm what hell no point app without use please add staff job
"After the latest update, this app takes for ever to find a cab near me!",after latest update app ever find cab near
The price ranges are ok with It but some of the drivers in the tuks doesn't even know how to talk to the customers. If its possible please try to add a new feature where I can book a vehicle for another person who is staying in a different location by adding that person's phone number before the booking confirmation so that the driver can communicate with that specific person.,the price it even know talk if possible please try add new feature i book vehicle another person different location person phone number booking confirmation driver communicate specific person
need more improvements,need
"Would be better if chargers are low, specially in the night time.. dont know why we have to pay extra 15% for the night rides",would better low specially night time dont know pay extra night
Please add the real map,please add real map
Excellent.my suggestion is add bike taxi also,excellent suggestion add bike taxi also
Drop location can't find. Please update this map,drop location find please update map
ewery time theare are no wehicals (Tuk) can you add more wehicals,ewery time add
"All the time we need to enterd the pick up location it want detect 
automatically its keep on fetching location but it want select the correct 
location this is need to be improve and app is very slow on theese 
days...drop location also when we type one location the app will select the 
very recent one all though I typed the location it want select please try 
to update this really helpfull for frequent users. ..",all time need pick location want detect automatically keep fetching location want select correct location need improve app slow days drop location also type one location app select recent one though i location want select please try update really frequent
Good make it more comfortable,good make comfortable
At the start It was great but now the drivers seem to ignore you on your pickup location and go ahead to your destination and charge you for a trip you didn't take. I've had this experience on 2 occasions and I didn't receive a response for my complaints from It at all. Obviously the way you treat your customers is absolutely poor and this is why I'm giving a 1 star rating and really wish I could give no rating at all because your service and response is hopeless.,at start it great seem ignore pickup location go ahead destination charge trip take i experience i receive response it obviously way treat absolutely poor i giving star rating really wish i could give rating service response hopeless
"Pick me food is very good and less expensive but drivers find hard to find the delivery address, need some improvement in finding location.",pick food good less expensive find hard find delivery address need improvement finding location
Every time update this app,every time update app
Needs improvement.,needs improvement
Please add dark theme ??,please add dark theme
Please add Round trip option to the app,please add round trip option app
Please add the chat option just like in Grab.,please add chat option like grab
"At the end of the trip, if user not connected to the internet there's no way to add rating to the driver later after user connected to the internet. Only shows trip details. Please add it. Rating the driver is important. Edit--: Can't exit from the app like before. Had to push to run in background and then close apps.",at end trip user connected way add rating driver later user connected only trip please add rating driver important edit can exit app like had push run background close
But... Hi...Please UPDATE It App To Set Home Location With Home Photo...Than It Drivers Can Easily Find Out Our Home...,but hi please update it app to set home location with home photo than it can easily find out our home
"Fairer than Uber because they charge according to distance. The running total is displayed on the driver's display, though sadly not on the passenger's. Their fare prediction is accurate, and they are responsive to suggestions and complaints.",fairer charge according distance the running total displayed driver display though sadly passenger their fare prediction accurate responsive
"Don't use this service. Their drivers are cheating people. They try to go trips from the longest root with the intention of earning more cheat money. I would like to give one advice to It, please introduce fixed price instead of approximate price. Because your drivers are cheating your valuable customers. That definitely a black mark for the company reputation. Thank You",don use service their cheating people they try go root intention earning cheat money i would like give one advice it please introduce fixed price instead approximate price because cheating valuable that definitely black mark company reputation thank you
 I would like an update where you get an otp from the customer and then the meter starts because every time I use this mode of transportation I have to pay a large amount and the drivers say it is the waiting charge. how can they start their even before we've got into the vehicle and started our journey? I would really appreciate if you could bring in this update soon,i would like update get customer meter every time i use mode transportation i pay large amount say waiting charge start even got vehicle journey i would really appreciate could bring update soon
"One of the perfect app and good services are provided. As a improvement area , It would be the best if drivers could become more polite with customers.",one perfect app good provided as improvement area it would best could become polite
when compared to other similar app the developer need to concern more. in It foods please add review for restaurants.,similar app developer need concern it please add review
