,text,Preprocessed_text,cluster
66,"Though I got a promo code it comes ""you are not eligible for this"" when I apply. Then for what the hell they send promo codes to me😑",get code come eligible apply hell send expressionless face ,Bug_fix
67,eye ra and beauty 5eu9x9d5credits,eye ra beauty eu credit ,Bug_fix
68,මගේ කෑම එක ඩිලිවරි කරන්නෙ නැතුව දැන් දවස් තුනක් මගේ කාඩ් එකෙක් සල්ලි කපාගත්තා complain කලාම කිසි ගානක් නැහැ මෙහෙම තව ගොඩක් අයට වෙලා ඇති pick me use කරන අය කල්පනාවෙන් මේක මෙයාලා plane කරලා කරන දෙයක්මගේ කෑම එක ඩිලිවරි කරන්නෙ නැතුව දැන් දවස් තුනක් මගේ කාඩ් එකෙක් සල්ලි කපාගත්තා complain කලාම කිසි ගානක් නැහැ මෙහෙම තව ගොඩක් අයට වෙලා ඇති pick me use කරන අය කල්පනාවෙන් මේක මෙයාලා plane කරලා කරන දෙයක්,complain pick use plane ,Common
69,Very good,good ,Common
70,Excellant,nan,Common
71,Always giving location update fail even given location access to the app properly.,give location update fail access app properly ,Common
72,Its terrible,terrible ,Bug_fix
73,good,good ,Common
74,Good,good ,Common
75,Cant make a ride,not ride ,Common
76,"This is my second complain ....for the past 6 days this app stops frequently saying ""unfortunately pickme has stopped""...!!! I refreshed my phone ..nothing happened. ..I switched off and on my phone ..nothing happened. ..I uninstall and reinstalled it...nothing happened. ..complained several times..nothing happened. .really frustrated. ..it's going from bad to worst ...👎👎👎",second complain past day app frequently say unfortunately stop phone switch time go bad thumb ,Bug_fix
77,"Nyc app, good working. Well job of drivers",app good work job ,Common
78,"drivers don't know how to use the app. most of them out of greed, accept the ride from far away.. they can't read a location on a map. very disappointed with the level of overall quality",know use app greed accept ride far away read location map disappoint level overall quality ,Common
79,No vehicles when we need,no need ,Feature Request
80,Very fast,fast ,Common
81,Comfertable journey at pickme and thaks for pickme,journey ,Bug_fix
82,Best taxi app in Sri Lanka. Customer support is very responsive to support tickets. Old : Complaint section is so buggy. apart from that the app is great,good taxi app sri customer support responsive old complaint section buggy apart great ,Common
83,Good,good ,Common
84,"It's not working at all for Samsung galaxy prime, after December 2019 update, no updates are awailable, team has nothing to do with app issues I guess",work galaxy prime update team app guess ,Common
85,Nice app😊,nice app smile face eye ,Common
86,Go Sri Lankan 👍🏾,sri thumbs medium dark skin tone ,Feature Request
87,Easy to use. I use it all the time.,easy use time ,Common
88,Great,great ,Feature Request
89,It is wonferdul,nan,Common
90,Love riding,love ride ,Bug_fix
91,Your pickup and drop location selection is a huge mess. Sometimes software took my drop location as the pickup location. Sometimes no drop location was selected. Please update this.,pickup drop location selection huge mess take select update ,Bug_fix
92,Very inconvenient when WhatsApp link to Google map redirect to pick me. Hence I uninstalled. I will open via pick me if required .,inconvenient link map redirect pick uninstalle open ,Bug_fix
93,Price is a lie we got lkr 250 for one KM,price lie get ,Bug_fix
94,Pick me එකෙන් කවුරුත් යන්න එපා. මොකද මම 10 වෙනිදා දැම්මා පැමිණිල්ලට අද වෙනකන් විසදුමක් නෑ. මගෙ රැ 84 හයර් එකට මෙ බලු සක්කිලි වෙස හැත්ත ගත්තා රැ 394 ක් ඒ ගැන කියලත් කිසිම විසදුමක් නෑ. මෙ ඇප් එකෙන් කවදාවත් හයර් දාලා යන්න එපා මුන් හිගා කෑවනම් මීට වඩා හොදයි. මිනිස්සුන්ව සුරන් කනවා. ඊට දවස් දෙකකට පස්සේ ආයෙ මට 50 ඩිස්කවුනට් එකක් තිබ්බා එක දාලා ගියාම රැ 21 හයර් එකට මගෙන් රැ 120ක් ගත්තා මෙ වගෙ ඒවගෙ ආයෙනම් යන්න එපා මුන් මිනිස්සුන්ව සුරන් කනවා. මම මෙක face book එකෙ හැම පේජ් එකක් මත් දැම්මා දැනගන්න,pick face book ,Bug_fix
95,is has ř,nan,Common
96,Lol no vehicles at all,nan,Common
97,Does not open,open ,Bug_fix
98,Not working with my tablet,not work tablet ,Common
99,Come to Matale pl,come ,Bug_fix
100,App crashes. Complained but no response.,app response ,Common
101,Only feature I would like to request is to be able to leave feedback to a driver after a trip has completed.,feature like request able leave feedback driver trip ,Bug_fix
102,Pick me is so helpful for me.,pick helpful ,Bug_fix
103,It keeps notifying even after I turned it off,turn ,Bug_fix
104,"Drivers are unprofessional. Some won't accept card payments. Some dont know how to use the GPS map. And its quite inconvenient when we have to call multiple times to get the driver to come to the right location and after a longer wait, they cancel the ride. Pick Me should really train its driver partners and make them adhere to strict standards as a norm.",unprofessional accept card not know use map inconvenient multiple time driver come right location longer wait cancel ride pick train adhere strict norm ,Common
105,Excellent,excellent ,Common
106,To much rate alibaba compnay,rate ,Bug_fix
107,crashes without a reason in the morning,reason morning ,Bug_fix
108,When you pay with points it doesn't show the driver that I paid with points sometimes. Its really annoying when that happens and I have to call the customer care to convince them.,pay driver annoying customer care convince ,Bug_fix
109,"This is getting worse day by day, drivers are accepting the ride and then call and ask to cancel from our side, most of the time no vehicle, poor service, really a time waste",get bad day ride ask cancel time vehicle poor service waste ,Common
110,"it's useful app, but they need to work on intercity rides. drivers expect a city ride and when they understand the destination, they cancel it. also prebook feature does not work, mine was silently cancelled, when time came.",useful app need work intercity expect city ride understand destination cancel feature silently time come ,Feature Request
111,I usually wake up in 5 and leave at 6:30 none of the vehicles are available at that time it is VERY FRUSTRATING when I can not find a driver when I want to.speaking of drivers most of them accept the ride and then remain unresponsive in the map as well as the calls.,usually wake leave available time find driver want speak accept ride remain unresponsive map ,Bug_fix
112,Gh Hj,nan,Common
113,Superb!,superb ,Common
114,Today's morning trip was awful. My initial amount shows as LKR 230 when I booked the trip and time estimation shows as 15 min there were no traffic in the road but driver used another route apart from my normsl route which shows in the driver app. At the end of the trip amount shows as LKR 270 and it took more than 15 min to arrive my destination. This app is misleading the customers. Totally dissapointed with the service. Complain added but still no response.,today morning trip awful initial book time estimation min traffic road driver route apart app end take arrive destination mislead totally service complain add response ,Bug_fix
115,Very 👎,thumb ,Bug_fix
116,Service Used to be very good! Now very crappy! App is also Very poor and unreliable now!,service good app poor unreliable ,Common
117,Excellent,excellent ,Common
118,Good,good ,Common
119,I ordered food at 10.40 .pm after training and I got a call at 12.pm saying my order has to be cancelled I was kept waiting for over an hour to have my dinner and then it was cancelled. I tried to order something else but no other restaurants were open. I lodged a complaint and they said they would get back to me within 2 working days but it's been over a 10 days now and no one has contacted me regarding the matter,order food training get say keep wait hour dinner try open lodge complaint work day matter ,Common
120,Most of the riders are going another directions. But in the app my location is correct. Today the rider went to Adhikaram road. But I'm in Uswatta road. He asked me to come to Adhikaram road. Sometimes Pick me directions are wrong. Riders argue with me. Some riders come to correct address without any issue. Please correct the fault of PickMe directions and locations.,go app location correct today rider road come pick wrong argue address issue fault ,Bug_fix
121,This App keep sending me notifications telling that i have promo code offers on rides but when i go and check there's none. So disturbing,app send tell code check disturbing ,Bug_fix
122,Useless app no food riders bad,useless app food bad ,Common
123,Good job pick me,good job pick ,Common
124,The best way to drive safely,good way drive safely ,Common
125,"Great Sri Lankan App,Better than uber and others.#1 Recomonded for all.",great sri app well ,Common
126,Good,good ,Common
127,"I'm very happy with last ride with ashanka' flex ko0972, from airport to kandy, nice and relax ride.",happy ride flex ko airport nice relax ,Common
128,👍,thumbs ,Bug_fix
129,It's really bad,bad ,Common
130,Good,good ,Common
131,It is unable to open pick me but why,unable open pick ,Bug_fix
132,I'm im ml ik no k,nan,Common
133,Good,good ,Common
134,terrible cab service in the sri lanka. And terrible for foor ordering.,terrible cab service sri ,Common
135,✋😌,raise hand relieved face ,Feature Request
136,Lm,nan,Common
137,There is never a driver,driver ,Bug_fix
138,User friendly.,user friendly ,Bug_fix
139,FRIENDLY AND EXCELLENT SERVICE.,friendly excellent service ,Common
140,Super,super ,Bug_fix
141,higer travelling rates compares to uber and workers are not quality. and also they have added delivery charge. we have to wait for hours to deliver something. better they pay us for wasting time. map also poor,quality add delivery charge wait deliver well pay waste time map poor ,Common
142,The most lagging app not working at all,lag app working ,Common
143,"App crashes on Huawei mate 8. Updated reinstalled,restarted. No solution.",app mate no solution ,Common
144,Very very useful app,useful app ,Common
145,"Ordered food....did not give option to claim discount, also check-out button missing and the order was placed!!!! Skipped at least 2 steps",order food option claim discount check button miss ,Common
146,This app is very useful for all of us.,app useful ,Common
147,Ok,nan,Common
148,Worst service Don't order food from here it's a disaster They take at least one and half hour to deliver the food,bad service don order food disaster half hour deliver ,Common
149,So good,good ,Common
150,App worked for 2days and now it is not working. It says to on the location service but even though i on it the app continues to say on the location and the app is not working🙁,app work day location service slightly frown face ,Common
151,Phone number field loses focus when trying to register. Can't enter phone number. Unusable.,phone number field focus try register enter unusable ,Feature Request
152,Nice,nice ,Common
153,amazing service to me 💃💃,amazing service woman dance dancing ,Common
154,Love it,love ,Common
155,Really bad experience. The driver asked 3 times the price agreed and we also paid all the highway tools.,bad experience driver time price agree highway ,Common
156,good,good ,Common
157,👍,thumbs ,Bug_fix
158,Drivers on Negambo road sometimes refuse to come to surtounding areas such as Dolahena Road,road refuse come ,Feature Request
159,0 customer service. They never pick up a call for the food,customer service pick food ,Common
160,Need more improvement,need improvement ,Feature Request
161,Wrong maps,wrong ,Bug_fix
162,Very good,good ,Common
163,The driver asked me to cancel the trip and I refused. He didn't arrive at all,driver cancel trip arrive ,Bug_fix
164,Taking extra amount of money saying for booking charges . Drivers are sometimes unfriendly and unfair when asked about the extra amount they charge. Also it's misleading when Drivers are too busy appears so it takes a lot of time to connect a driver .,take extra money say book unfriendly unfair charge mislead busy lot time connect driver ,Bug_fix
165,In December I got a service from your company from Kadawatha to Colombo. I was charged up to 54km for this. But actually there is only 27 km. I have complained about this to the company but no one has responded to it yet. This is how much money people take. We are ignorant,get service company km actually money people ignorant ,Bug_fix
166,terrorist supporter and spying on drivers Also has stopped charging for waiting time. Misusing poor drivers,terrorist supporter stop charge wait time poor ,Feature Request
167,Good app,good app ,Common
168,Good,good ,Common
169,Such a stupid app Customers are cheeters They even don't know to use a phone,stupid app know use phone ,Common
170,Good,good ,Common
171,Location update is worse...,location update bad ,Bug_fix
172,One time when I order some food one food item was missing there is no option in the app to complain in pickme food please add a option to report incidents and when will be flash available in Kandy and when you add a promo code does not show the discounted price,time order food item miss option app complain add report flash available code price ,Common
173,Wow but 😩😩😩😩😩😩,wow weary face ,Bug_fix
174,what s this i m hate this app never work in time alwaya tube light hhhhh,hate app work time tube light ,Common
175,"Misleading. It says ""All drivers are busy"" when it can't find a taxi. No taxis appear on the map. But it continues to search for drivers in the background. This happens even after you close the app. I get phone calls from drivers saying they are waiting for me half and hour after I initially tried to book a taxi. Not only is it an inconvenience for the user but also the driver who expects a fare.",mislead busy find taxi no appear map search background close app phone say wait half hour initially try book not inconvenience user driver fare ,Bug_fix
176,Good,good ,Common
177,Not available in my area.,not available area ,Feature Request
178,Worst app ever. Drivers are too late and drivers don't know the correct location,worst app late know correct location ,Bug_fix
179,Good,good ,Common
180,Thank u,thank ,Common
181,Awesome Congratulations and keep it up,awesome ,Common
182,Good ap of srilanka,good ,Common
183,"App will quote you a fare and route, driver will take different route and charge you tolls and additional fees for taking another route. Raise complaint and they will claim it is not their fault nor the drivers. Terrible professionalism and customer service.",app quote fare route driver different charge additional take raise complaint claim fault terrible professionalism customer service ,Common
184,Very good! but no riders,good ,Common
185,Very fast taxi sri lanka,fast taxi sri ,Common
186,"Once the app can't find a driver it gives you a screen that says All drivers are busy. This is misleading, because the app is actually looking for drivers in the background. There have been multiple instances where drivers have called me 20 or 30mins later after arriving at the location, but I had already left and am not in that location. This is quite inconvenient. I don't expect this substandard UX from an app like this.",app find driver screen busy misleading actually look background multiple min later location leave inconvenient expect substandard like ,Common
187,"Not working on the new phone, it does not allow me type the phone number and start",not work new phone allow type number start ,Common
188,Avarage,nan,Common
189,"useless service , no vehicles in everywhere 🤢",useless service nauseate face ,Feature Request
190,Very good,good ,Common
191,Good,good ,Common
192,Very good app and Very useful,good app useful ,Common
193,There are some errors in track drivers please fix it,track fix ,Bug_fix
194,Super but some times out of the service,super times service ,Common
195,Safe journey,safe journey ,Bug_fix
196,The grate app.to official app.i like this,grate app official like ,Common
197,😉 😬😬😬☝️☝️😤,wink face grimace index point steam nose ,Bug_fix
198,Nishantha R I nishantharu,nan,Common
199,"Stupid App! Map is Not Working Propely. When you need urgent ride, do not use this. Try something else or take bus cause it's more easy than this!",stupid app map not work need urgent ride use try bus cause easy ,Common
200,On time great service,time great service ,Common
201,"Bad customer service ,no refund after a whole week",bad customer service refund week ,Common
202,Crazy drivers cheaters lost my phone,crazy lose phone ,Bug_fix
203,Terrible bad drivers crazy man,terrible bad crazy man ,Common
204,Terrible,terrible ,Bug_fix
205,OK thnx,nan,Common
206,Good,good ,Common
207,Good but very late on food orders.. And i would like to say pickme app team. A big thanks and please try to add transport to longer distance for food from kandy to digana or Teldeniya or balagola. We at kandy - kundasale District people need pickme too please arrange us some food delivery... And app will hang at ordering food.. After conformation we can operate till that freezing.. Some order's are delivered after 40min its too long for a foodie like me,good late food like app team big thank try add transport long distance district people need arrange delivery conformation operate till freeze order min ,Common
208,Superb app . Highly recommended.. 5 strs,superb app highly ,Common
209,Ok,nan,Common
210,Not recomended.some drivers doing accident porposly. Extreamly cannot trust drivers.,not accident trust ,Bug_fix
211,Pick me was very good in the past. But now it is exploiting money. hate this app.,pick good past money hate app ,Common
212,"Appalled at the professionalism at PickMe. I had a horrible experience in November and to date I have not received a proper response from Pickme on either their app or even their phone or Email channels. I initially made a complaint on the app and had to call two or three times after a week to get them to actually check it to which they replied ""under investigation."" From that point I have almost weekly or bi-weekly called for an update to which I get the run-around.",professionalism horrible experience date receive proper response app phone initially complaint time week actually check investigation point weekly update run ,Common
213,Very good,good ,Common
214,A best app,good app ,Common
215,Good,good ,Common
216,"I am from India, travelling to SL in Jan. i am not getting the OTP, Support not replying to email either. Not sure how to login.",get support not sure login ,Feature Request
217,Good,good ,Common
218,Good,good ,Common
219,Good service,good service ,Common
220,Cool thing,cool thing ,Feature Request
221,Good for travelling.,good ,Common
222,Good,good ,Common
223,Please enable an option to write a review about the ride where driver also can see that feedback. You have only provided the complaint option.,enable option write review ride driver feedback provide complaint ,Common
224,Gegue,nan,Common
225,This app is very important to our life,app important life ,Common
226,Very good,good ,Common
227,Great service,great service ,Common
228,Good,good ,Common
229,Couldn't apply promo codes,apply ,Bug_fix
230,Useful good,useful good ,Common
231,Your app is broken.. It used to work fine but now when I try to order food every restaurant is somehow busy.. Do not install this app!,app break work fine try order food restaurant busy install ,Common
232,I love this app.this app super.and better other app,love app super well ,Common
233,SUPER,super ,Bug_fix
234,Best ride,good ride ,Common
235,Happybirthdaycake,nan,Common
236,👍,thumbs ,Bug_fix
237,Please don't use this app. It's highly unreliable. I ordered food and the driver went to the wrong place and my card got charged the full amount. When I tried to complain they said driver said I'm uncontactable and then cancelled the order so it's my fault. I was never uncontactable. In fact the driver's number in the app was incorrect and I couldn't contact him at all despite many attempts. Uber Eats costs slightly higher but their service is much more reliable. Please use that.,use app highly unreliable order food driver go wrong place card get try complain say fault fact number incorrect contact despite eat slightly high service reliable ,Common
238,Supper,supper ,Bug_fix
239,Tried to use the app to book a taxi to the airport at the end of our holiday. Didn't recognise my UK mobile phone number so was unable to. Emailed support but no reply,try use app book taxi airport end holiday mobile phone number unable support reply ,Bug_fix
240,good 👍,good thumb ,Common
241,Best app in sri lanka,best app sri ,Common
242,Good,good ,Common
243,There are messages on offers that pop up but cannot see the offer on the app,pop offer app ,Common
244,Good,good ,Common
245,PROMOTION CODE PENNANNE NA.,promotion code na ,Bug_fix
246,This is a good app,good app ,Common
247,This app doesn't work properly,app work properly ,Common
248,Herath,nan,Common
249,Disgusting,disgusting ,Bug_fix
250,an easy app. consists of transportation food etc.,easy app transportation food ,Common
251,Really help with pick me app,help pick app ,Bug_fix
252,Awsome,nan,Common
253,Full of scammers. I've had 3 out of 3 bad experiences. First the driver arrived and told me he had a technical difficulty (he had clearly logged out of the app and was just tapping on the login screen). He clearly wanted us to cancel and pay cash directly to him. Then we had a journey that seemed fine but I got a call to say I had underpaid. Seemed dodgy. Then a driver called ahead to say he had a new car and so his number plate was different. Also you can't tip. Stick to Uber.,bad driver tell technical difficulty clearly log app tap login screen cancel pay cash directly journey fine get underpay dodgy ahead new car number plate different tip stick ,Bug_fix
254,Nice,nice ,Common
255,Good,good ,Common
256,first time,time ,Bug_fix
257,Fine,fine ,Bug_fix
258,So good,good ,Common
259,very easy travelling 🏉🏉⚽⚽⚽,easy rugby football soccer ball ,Common
260,It helps me a lot👌,lot ok hand ,Bug_fix
261,Very good 👍 app,good thumb app ,Common
262,Ok,nan,Common
263,good,good ,Common
264,Super,super ,Bug_fix
265,"Very Good. After selecting the food, map has bugs in resizing. Cannot add more than 1 location of taxi designations to show maximum journey distance for driver to accept",good food map add location taxi maximum journey distance driver accept ,Common
266,"එක trip එකකින් පස්සේ ඇප් එක uninstall කරලා නැවත install කරලා තමයි පාවිච්චි 
කරන්න වෙන්නේ අනිත් එක driver ගේ informations මොනවත් පෙන්වන්නෙත් නෑ me 
issues tika poddak hadanna.ehema nethiwunoth e hire ekata maruwenna wenawa",trip install driver hire ,Feature Request
267,"There is no ""Go"" option to Make a SEARCH in this app for food delivery",option search app food delivery ,Feature Request
268,Great,great ,Feature Request
269,Best app in Sri lanka,best app sri ,Common
270,government eken tax adu karala tuk tuk vala price adu karanna kivva neda? ay me oyalage thavath price vadivela? ada venadata vada rs20k vadi una hire ekata.. start karanna kalin rs78y pennuve hire eka end unaama 100y.. ehema venne kohomada? hari nam tax adu karapu nisa 65kata vath yanna oni... meka ikmanata adu karanna naththan adaala ayathanavdanuvath karala api mekata viruddava kriya karanava ikmanata price adu karanna tuk tuk vala..,government tax price ay hire start rs end nam kata ,Bug_fix
271,Showing very long routs instead of shortest one. Please let us change the rout automatically selected by the app.,show long instead let change rout automatically select app ,Bug_fix
272,MashaAllah,nan,Common
273,The drivers are always asking the pickup location when i tell them to come to the pickup location on the map they are always asking for directions by calling plese fix this,pickup location tell come map call fix ,Bug_fix
274,Nill customer care service.,customer care service ,Common
275,Goood,nan,Common
276,Disgusting,disgusting ,Bug_fix
277,Too many drivers calling and asking the location and cancelling. Worst service. Won't use again.,call location bad service win use ,Common
278,Good,good ,Common
279,Pathetic app. My screen freezes frequently with your advertisements & greetings. I use android.,pathetic app screen frequently use android ,Common
280,Good app😀😀,good app grin face grinning ,Common
281,Best,best ,Common
282,The pickme app has gone bad to worse and terrible. Same trip with similar distance the app shows different kms and hence higher charge. Drivers after accepeting a trip keep silent and when called upon they say they are in a far away place and cant come asking us to cancel. Very poor customer care with no agent to talk to. This service should be banned in Sri Lanka and give the cheated money back to customers.,app go bad terrible trip similar distance different high charge silent far away place not come cancel poor customer care agent talk service sri money ,Feature Request
283,Very satisfied,satisfied ,Bug_fix
284,Drivers are not taking the short rides,take short ,Bug_fix
285,Good,good ,Common
286,👍👍,thumbs ,Bug_fix
287,Driver standards need to be improved. Most of the drivers are not professionals. Sometimes bad discipline and not aware about offers given by PickMe. Some call and ask for the destination and ask to cancel. Some ask weather its a card payment and if a card they ask to cancel. Food delivery part needs to be improved a lot considered to the other competitors. But it is useful most of the time and overall helpful app,driver need bad discipline aware give ask destination cancel weather card payment food delivery lot consider useful time overall helpful app ,Common
288,One karana welawata tuk ekak hoya ganna ba meke dana dana weleta driversla busy ne. Tikak driversla gana wadi kara ganna. Eka nosa thama one stardunne.oyalage app eka gana api gidk hopes thiyagena inne.,ba busy ne wadi app ,Common
289,Good job,good job ,Common
290,Huththe app eka..gamanak yanna hadaddi meka update karannalu..nodakin..හැදි ගෑවිලා පල,app update ,Common
291,ත්‍රිවිල්රථ දිස්වන්නෙ නැත.,nan,Common
292,Thank,thank ,Common
293,Best,best ,Common
294,This app continuously restarting. Unable to book a ride. Even if I uninstalled and reinstalled same problem is there. Very rarely I can book a ride using this app. No use of at all.,app continuously unable book ride uninstalle problem rarely no use ,Common
295,Extreamly not recomended,nan,Common
296,Hot and past,hot past ,Bug_fix
297,Great,great ,Feature Request
298,Some option not working properly. And we cant get past total earnings. Showing only current day,option work properly not past total earning show current day ,Common
299,Ammata hukapiyau,nan,Common
300,Very Good service,good service ,Common
301,"I've been using pickme since it was launched. And with my overall experience I will never reccomend it to anyone especially women! They (Pickme) dont care about the driver, they just give anyone, the job. There are soo many pickme drivers who Drive recklessly (most of the young drivers) and they charge more money than it shows and when u tell that, they will shout at you. So please fix. The only! only! thing which I like about this app is that it is very user friendly.",overall experience especially not care driver job drive recklessly young charge money tell shout fix thing like app user friendly ,Common
302,Excellent,excellent ,Common
303,Good service,good service ,Common
304,Good,good ,Common
305,Excellent,excellent ,Common
306,Patta,patta ,Bug_fix
307,Pick me is very best app I like this app,pick good app like ,Common
308,very very good,good ,Common
309,Good,good ,Common
310,Good,good ,Common
311,Operations confusing not clearly stated.,clearly state ,Bug_fix
312,Another great sri Lankan taxi app.#1 in SL,great sri taxi app ,Common
313,The best taxi hailing app plus food delivery and courier services are also available.,good taxi app plus food delivery courier available ,Common
314,Terrible! No taxi cars after 10PM in Colombo 5,terrible no taxi pm ,Common
315,No vehicles.,no ,Bug_fix
316,The promo code that came in the notification is no where to be found. Stupid,code come notification find stupid ,Bug_fix
317,Good..,good ,Common
318,good,good ,Common
319,bad,bad ,Common
320,Super service in Sri Lanka,super service sri ,Common
321,It always give unexpected error when try to checkout .,unexpected error try ,Bug_fix
322,Akahabsb,nan,Common
323,"Nice Service, Bit Expensive",nice service bit expensive ,Common
324,Excellent,excellent ,Common
325,"Satisfactory. But Some refuse short hires, grimble on traffic jams etc",satisfactory refuse short traffic ,Common
326,Cant use these apps why,not use ,Common
327,Mrs hussain,nan,Common
328,Superb,superb ,Common
329,👎,thumbs ,Bug_fix
330,Can't download,nan,Common
331,Superb,superb ,Common
332,Pick Me lite for internal small capacity memory smartphone I can't install Pick Me because my Phone one RAM only,pick lite internal small capacity memory install phone ram ,Feature Request
333,Good,good ,Common
334,Super bro,super ,Bug_fix
335,Very nice app,nice app ,Common
336,Good,good ,Common
337,I love it,love ,Common
338,Good service,good service ,Common
339,This app is really effective when we are in need of a vehicle or we can even get our food when we tell them but sometimes it gets stuck and when we cancel the driver cuz driver may be too far and book another one the same person gets booked so... I think they need more drivers.,app effective need vehicle food tell stick cancel driver far book person think ,Bug_fix
340,uber eats is better than pickme food,eat well food ,Common
341,Very good,good ,Common
342,I can open this app,open app ,Common
343,Good,good ,Common
344,Good,good ,Common
345,this is a very good app,good app ,Common
346,Good and useful app👍,good useful app thumb ,Common
347,best app for traveles,best app ,Common
348,Very prompt and reasonable rates.,prompt reasonable ,Bug_fix
349,Corp. Reach Support References Required,corp reach support ,Feature Request
350,Good,good ,Common
351,Pick me is not showing the exact location of the vehicles even if i have good internet connection plz improve it.,pick show exact location good connection improve ,Common
352,"I've been using this app for more than a year, it had a poor rate of drivers picking up a ride now its worse, morning's & evenings no rides available during office hours. The app shows ride availability in 5 min, 7 min, etc. Misleading customers, but no rides available, plus shows that its searching for a ride for so many minutes and after so many minutes it says no rides available 90% of the time or the driver is coming from a distance of 4 to 5 Km away.",app year poor rate ride bad morning available office availability min misleading plus search time driver come distance away ,Common
353,Greatvservice,nan,Common
354,Worst always says drivers are busy,bad busy ,Bug_fix
