text,Preprocessed_text
For someone who doesn't currently have a working vehicle and enjoys dining out this app is perfect. I've used it for a while have friends and family who use it and it's pretty good. There's a wide variety of places to choose from and I like the fact that I can tip directly from the app. I also really like the fact that it shows me what the driver looks like their name and what car they drive. Definitely going to keep using it.,for someone currently working vehicle dining app perfect i used family use pretty good there wide variety choose i like fact i tip directly app i also really like fact driver like name car drive definitely going keep
Phenomenal,phenomenal
Map correctly recognizes address but sends driver down to wrong place. Have updated address and deleted account with no fix.,map correctly address driver wrong place have address account fix
Eh it's okay $$,eh
Easy as.,easy
Buen servicio,
Ha mejorado bastante en cuánto a la oferta de restaurantes y el que vengan los pedidos completos.,ha en la de el
Great delivery app!,great delivery app
Tried to order food and it kept saying there's an error. After a half hour of trying I was still not able to order food.,tried order food kept saying error after half hour trying i still able order food
Fast efficient tried all the food delivery aps this one is the best,fast efficient tried food delivery one best
When I was in India it was working completely fine. But outside India it's not working at all.,when i working completely fine but outside working
Excellent job,excellent job
Install app. Asks me right away for phone number then. Ode then email and then it says email already has account but no other options to sign it etc. Unistalled immediately.,install app right away phone number ode already account sign immediately
Won't let me look at the reviews of restaurants before ordering. Waste of money when the food sucks.,wo let look waste money food
Driver drove on my grass. I just got it resodded. My husband wasn't too happy with that.,driver drove grass i got my husband happy
Great Experience!,great experience
My order was wrong I ordered the chicken sandwich combo. And the combo comes with one side and a drink. The side I ordered was Cajun rice and the drink I ordered was Mirinda Strawberry. This is what was delivered to me the chicken sandwich and french fries. I ordered from popeyes.,my order wrong i ordered chicken sandwich and comes one side drink the side i ordered cajun rice drink i ordered strawberry this chicken sandwich i ordered
Prices for delivery have sky rocketed over the past few months. What used to be afordable occasionally is no longer worth it. My recent order that would have cost $50 if picked up balooned to $72 for delivery. I will no longer be using this service due to the cost.,delivery sky past what used occasionally longer worth my recent order would cost picked delivery i longer service due cost
Great app. Nicely laid out and easy to use. Really good selection.,great app nicely laid easy use really good selection
Best and worst app ever!! does nothing to stop me from ordering food wherever whenever on impulse😂😂 Never had a bad experience  awesome delivery people  smooth customer service reps. I now budget for uber eats lol,best worst app ever nothing stop food wherever whenever impulse face tears joy face tears joy never bad experience awesome delivery people smooth customer service reps i budget eats
App is simple to use and works well,app simple use works well
Was alright till a recent update. Now its a bit buggy,was alright till recent update now bit buggy
Wont accept paypal (Canada) Forcing people to use credit cards isnt cool.,wont accept canada forcing people use credit cool
Wow love the app amazing idea I don't have to go and get it my self.,wow love app amazing idea i go get self
Made the order and when is to pay it says place is out of the reach of my house 2nd time same thing. And both places on a 10 block radious,made order pay place reach house nd time thing and block
It's an inexpensive service in comparison to the alternatives however I often receive orders with missing or incorrect items though I do believe that is more on the communication within resturants than the app. However when I address it...it never seems to be a pleasant interaction.,it inexpensive service comparison however i often receive missing incorrect though i believe communication within app however i address never pleasant interaction
My orders consistently missing items and it takes extremely long to receive your food when there is even a driver available so its rarely warm.,my consistently missing extremely long receive food even driver available rarely warm
Since I updated the app 2 days ago it fails a lot  asks evey time for address  didn't let me make checkout  etc.,since i app days ago lot time address let make
I can't even register. It wont accept my cell number but it will the example. It keeps telling me my account doesn't have a password. And I still have to rate with a star..,i even register it wont accept cell number example it telling account password and i still rate star
I'm in rothwell Leeds Ls26. And the app seys it coming soon  yet uber eats website delivers to mee!! Please sort this out ASAP!!,i ls and app coming soon yet eats please sort
So far so good.,so far good
Cool,cool
Disgusting term and policy  not help at all!!,disgusting term policy help
The wait time for food is ridiculous!! If both my sons weren't sick I would've went and gotten my own food!! Almost 2hrs for some damn popeyes really!!,the wait time food ridiculous if sons sick i would went gotten food almost hrs damn really
App freezes and doesn't let me place multiple orders at a time,app let place multiple time
Excellent,excellent
Can never orders food smoothie there's always an issue and then there's no one to help you out with your issue and the customer service Representatives on the chat are so rude,can never food always issue one help issue customer service chat rude
Sometime you can get free delivery with a order which is towards your destination! Competition didn't have such feature. The app is very clean and working perfectly.. Never had any problems!,sometime get free delivery order towards destination competition feature the app clean working perfectly never
Great,great
Supposedly a big company and they can't have an in app refund like just eat will not use again just eat is cheaper and way better service,supposedly big company app refund like eat use eat way better service
It is not working for me since I got a new card. Cannot purchase any food. Really disappointed in the service. Supposed to be a professional service but clearly is run by a bunch of absolute gimps. Not happy.,it working since i got new card can purchase food really disappointed service supposed professional service clearly run bunch absolute not happy
I couldnt live without you guys i cant cook so basically uber eats is my wife! Love you guys keep up the good work.,i live without cant cook basically eats wife love keep good work
Great and timely pleasant,great timely pleasant
Will consistently mess up your orders and take no responsibility for their part in the service. Customer service when they get back to you is rude and less than helpful. Drivers will get lost  make multiple deliveries at a time and have no clue which order is yours. Save yourself the headache and use another app.,will consistently mess take responsibility part service customer service get back rude less helpful get lost make multiple time clue order save headache use another app
Great.,great
Slow. Waited over an hour just to not receive my food. Then they say I cant get a refund for an order I never received. Never using Uber again. Use Doordash  the people are easier to work with and aren't as incompetent as Uber employees and drivers,slow hour receive food then say i cant get refund order i never received never use people easier work incompetent
Love this app,love app
the best app ever,best app ever
Great app,great app
Great variety of Restuarants! Always EXCELLANT service!,great variety always service
تطبيق غير ظريف وصعب في الوصول الي المساعدة من خلاله قمت بتحميله بناء علي توصيه من صديقثم اختفي البرومو الذي ارسله ليوحل محله برومو اخر ثم بعد اتمامي اول طلب لم يصل كاش باك الي صديقي ولم استطيع الوصول الي المساعده اضافه الي انهم ازعجوني بتعطيل حسابي لفترة قبل ان استطيع الطلب تجربة غير مريحه بالمرة وتعقيد يصيب بالملل وصعوبة الحصول علي مساعده,
Very bad customer service! False advertisement. Big disappointment. Do not recommend.,very bad customer service false advertisement big disappointment do recommend
Update 3/9 I would recommend for anyone thinking of downloading this app to not do so. Simply you cannot even call anyone other than the driver when something has gone wrong. More often than not something does go wrong. Do not download. 12/19 Hey so recently tried using the app again after some time of not using it and honestly it's garbage. You can tell there a severe disconnect between UberEats and the restaurants. Combined with all of the surcharges and extra fees it's honestly not worth it.,update i would recommend anyone thinking app simply even call anyone driver something gone wrong more often something go wrong do hey recently tried app time honestly garbage you tell severe disconnect combined extra honestly worth
Stop SMS spam,stop
Slow service. They don't address complaints,slow service they address
They not in all areas,they
I would like to inform you that your Subway options always change the orders and what vegetables you want on your items. After we always select we always recieve something different than we order.,i would like inform subway always change want after always select always something different order
Glitches,
Ce site est tout simplement une ARNAQUE !!!!!! Ça fait 1 semaine que je me bat avec le service client pour me faire rembourser d'une commande qui n'est jamais arrivée. La seule réponse que j'ai  est que j'aurai du vérifier si mon adresse était correcte et rester à côté de mon téléphone. Il me prenne pour une débile  car l'adresse que j'ai renseigné est bien évidemment la bonne et que si j'avais reçu un appel du livreur  j'aurai eu son numéro de téléphone et j'aurais été en mesure de le rappeler,ce site tout bat service client pour n la j ai j si mon rester de mon pour car l j ai bien la si j un j eu son de j en de
Easy to use. Never an issue directly with uber eats  just restaurants.,easy use never issue directly eats
I had a order get canceled but I still got charged. How do I get my refund since my order was canceled?,i order get i still got how i get refund since order
Very bad experience with Uber as a whole. Very frustrating at times. The app just gets downgraded every time there is an update. Certainly not what it used to be,very bad experience whole very times the app every time update certainly used
I could not set my new account,i could set new account
I'm very pleased with this app so far. Great job,i app far great job
The app will change your order without you knowing  the drivers are either late or don't ensure they even have your order not someone else's when they go to pick up and deliver  and the customer service representatives are a joke to try to deal with. They are a hassle to try and fix anything and when you are charged fees wrongly  they would rather take your money and give you their app credit instead of your money back. Don't waste your time.,the app change order without knowing either late ensure even order someone else go pick deliver customer service joke try deal they hassle try fix anything wrongly would rather take money give app credit instead money back do waste time
Excellent,excellent
More often then not my food comes either incredibly late  not at all or subpar quality. Alas I still use the app for I have no vehicle :(,more often food comes either incredibly late quality alas i still use app i vehicle
Excellent,excellent
Good people good food  papa johns,good people good food papa
Good overall. Just pricy!!$$$$$. Ridiculously pricey sometimes. And the small order fee is so stupid!,good overall just ridiculously sometimes and small order fee stupid
Muy bien.,bien
Always great and super helpful from work and having kids makes eating out hard,always great super helpful work eating hard
Great to use  more deals appear everyday.,great use appear everyday
All drivers should deliver to the door  but they don't.,all deliver door
You should give your existing customers more discounts.,you give
App is unusable.,app unusable
Your promos are misleading. I ordered from a special menu with a label Buy 1 Take 1. I purchased 2 items and only received 1 of each to think that I was ordering from a buy 1 take 1 menu. Who would buy 1 pc of each item from a buy 1 take 1 menu? A total scam.,your misleading i ordered special menu label buy take i received think i buy take menu who would buy item buy take menu a total scam
App we'll done usually missing maybe some feature from Uber itself like share a meal so everyone pay their part and order what they want.,app done usually missing maybe feature like share meal everyone pay part order want
Love it.... all very easy to use sometimes I wish we would get more discounts for the people who use the app to eat,love easy use sometimes i wish would get people use app eat
Great service. Amazing!!!,great service amazing
Good,good
I waited almost an hour for an order  but a driver never went to get the order. I called the restaurant but they hadn't made the order yet due to no one had showed up but UberEats still charged me for the food when I cancelled. I'll never use again. I'd rather use Doordash.,i almost hour order driver never went get order i restaurant made order yet due one still food i i never use i would rather use
La app es buena  rápida y cumple su función  pero podrían mejorar la comunicación cliente-repartidor,la app es la
Customer service not straightforward with an issue of a past order  app said order delivered but never received,customer service straightforward issue past order app said order never received
I can not login,i login
The best,the best
Falla bastante con respecto al GPS.,con al
Does the job never had any problems with the app,does job never app
Great. Love Mcdonalds delivery service although it's annoying when they make the service unavailable. Wish it wasn't so expensive for delivery.,great love delivery service although annoying make service unavailable wish expensive delivery
I love this app 😍😍😍😍 ok not that much 😂 but they have McDonald's and I love them,i love app smiling face heart smiling face heart smiling face heart smiling face heart much face tears joy i love
Why can't I turn off notifications for special offers? I turn the notifications on so my watch will tell me when an order is arriving soon but then my watch starts buzzing for some mystery promotion that is just a thinly veiled way to get me to open the app around lunch time. Why is the app pushing special deals then saying I can't order them? If my location is too far to order from a restaurant  I shouldn't even see the restaurant in the app! Uninstalled.,why i turn special i turn watch tell order soon watch buzzing mystery promotion thinly veiled way get open app around lunch time why app pushing special saying i order if location far order restaurant i even see restaurant app uninstalled
Horrible customer support. I'm here in mexico using this app and I cant find someone to speak in English to help me I've been jipped on over 2 orders and nothing has been done on my situation. 03/09 finally uninstalled this app. After being a VIP member also will be uninstalling UBER.,horrible customer support i app i cant find someone speak help i nothing done situation finally uninstalled app after member also
Why was it cancled????,why
very happy with this service and use it often!!,happy service use often
Uber Eats backs restaurants  failing to protect consumers  which makes this a service I cannot count on and will no longer use. Their job as the facilitator is to insure fair transactions. They've failed to do so multiple times and have lost our business as a result.,eats failing protect service i count longer use their job facilitator insure fair they multiple times lost business result
I joined 2 days ago and have ordered twice in as many days. I injured myself and can't walk or drive. It's been 8 days and doesn't look like I will be mobile at least for another week. I found Uber Eats  joined immediately  and all my orders have been within 30 minutes and exactly what I ordered. This is the best for anyone in a tight spot  too busy or who just doesn't want to deal with going out. I'll be using Uber Eats again today. I highly recommend to this app.,i days ago ordered twice many days i injured walk drive it days look like i mobile least another week i found eats immediately within exactly i ordered this best anyone tight spot busy want deal going i eats today i highly recommend app
Uber eats are disgraceful. Orders get cancelled constantly but only after they make you wait hours first. Customer service is absoloutely shocking and completely unhelpful. Overall terrible experience. Edit: I tried to contact your support like you asked and received the same basic response as last time where they basically ignore everything I've said even though i stated that i was asked to get in touch by yourselves. You may have to contact me or provide a link to a contact number.,eats disgraceful get constantly make wait first customer service shocking completely unhelpful overall terrible experience edit i tried contact support like received basic response last time basically ignore everything i said even though stated get touch you may contact provide link contact number
Easy app great service,easy app great service
OK,
Lots of promotions....thanks...,lots thanks
worst customer service experience unprofessional lazy auto reply,worst customer service experience unprofessional lazy auto reply
After the last update the app is messed up. Hangs a lot  loading issues  and often closes itself completely.,after last update app lot loading often completely
Love its easy to use and good if don't have transportation. It can be a little costly,love easy use good transportation it little costly
I ordered a small vanilla ice cap at 2% milk and I got a chocolate milk ice cap.,i ordered small vanilla ice cap milk i got chocolate milk ice cap
Comanda anulata  ca sa nu beneficiez de promotie. Nu recomand.,ca sa nu de nu
Good service and polite behavior,good service polite behavior
Good App,good app
Easy access to food and very great service,easy access food great service
Since update this app doesn't work. Can't even get past adding address stage. Worked fine for years before,since update app work ca even get past address stage worked fine
Ok. A lot of places cancel me because they are out of stuff etc. Not very convenient if ur busy working person.,a lot cancel stuff not convenient ur busy working person
UberEats consistently disappoints me. Multiple times I've had rude delivery people  cold food  unexplained delays without any apologies  oh and you can't cancel once they're delayed! That only proves how aware you are of this issue. I would highly recommend just walking to whatever store you want to order from because it'll still be faster and a better experience than what UberEats provides. To the copy paste customer service reply below: I did. Your system either deleted it or you ignored me or you're taking your 5 days to respond after you've already charged my credit card. This is a consistent issue in multiple different countries. Your system clearly isn't working.,consistently multiple times i rude delivery people cold food unexplained without oh cancel that aware issue i would highly recommend walking whatever store want order still faster better experience to copy paste customer service reply i your system either taking days respond already credit card this consistent issue multiple different your system clearly working
Loved it  went from first install to food in like 45 minutes! Epic!,went first install food like epic
Disgraceful  half of order and no one to contact...,disgraceful half order one contact
Nicesu,
Most always use this app the delivery fee a bit high but theres promotion that help with that.,most always use app delivery fee bit high theres promotion help
Made things easier😍,made easier smiling face heart
Its my last time ordering i ordered something wrong and it has been an hour for me trying to cancel it so i'm getting something i dont want because i don't know why shall it be hard to cancel an order,its last time ordered something wrong hour trying cancel getting something dont want know shall hard cancel order
So far  I've only actually used the app once- this was on two Big Mac meals  one thick shake and a MacFlurry  and  all for just the price of delivery!! By using the- UP TO £10 OFF YOUR FIRST ORDER- (not including delivery charges..) was quite shocked by how much Macdonald's charge for deliveries.. almost £4!! however; my food arrived within 10 mins and that's all I had to pay so I was ok with that!!!‐ Emails send deals every month  it's a gr8 app!,so far i actually used app two big mac one thick shake price delivery by up to off your first order delivery quite much charge almost however food within i pay i send every month gr app
Today the app keeps asking for my address  getting a blank screen  i haven't had any problems using it before  everything is uodated,today app address getting blank screen everything
Only used a few times they keep saying sorry for the delay...it doesn't happens often they say.....YES IT DOES.,only used times keep saying sorry delay often say yes it does
Good app with good selection's,good app good selection
They want you to put in your phone number to get started. I've never had an Uber account. Period. I've had my phone number for just over a year  and never used Uber. Ever. But whoever last had my number  did have Uber and the phone number is still associated with their account. So I can't use the app because there isn't an option to sign up with my email  and I know from prior experience with my boyfriend trying to become a driver there's no such thing as proper customer service at Uber.,they want put phone number get i never account period i phone number year never used ever but whoever last number phone number still associated account so i use app option sign i know prior experience trying become driver thing proper customer service
Took 2 hours to get food from a few blocks over  could've walked there and got it faster. The convenience of having it delivered is completely not worth it  wasn't even  it was a headache knowing that I'm paying a fee and a tip for an inconvenience to me.,took get food could got faster the convenience completely worth even headache knowing i paying fee tip inconvenience
Love this app so much it saves my life when I'm at work,love app much life i work
Always payment method problems comes when i placed the oder that big worst bug in this app,always payment method comes big worst bug app
Pretty good sometimes glitches,pretty good sometimes
I'd appreciate it if uber eats would add more options but otherwise i like the app i guess,i would appreciate eats would add otherwise like app guess
A veces no salen todas las opciones de restaurantes.,a las de
I cant order food from my credit,i cant order food credit
Awesome,awesome
Such a ripoff. Service fees  delivery fees plus an increased food cost because they charge the vendor a % so they have to jack up pricing. A typical order is usually $12-15 more than pickup  before tip. Only way I'm ever using this app again is if I'm bedridden.,such service delivery plus food cost charge vendor jack a typical order usually pickup tip only way i ever app i bedridden
I ordered some food and the driver picked it up then cancelled the order and drove away with $56 worth of food ((it was for a party)). I called customer support and they even checked and confirmed that he never even came to the designated location. Honestly they should be able to check so to avoid situations like this bc i was pretty angry when it happened. Giving it 3 stars bc they offered me a $5 off coupon as compensation so i guess it makes it hurt a little less.,i ordered food driver picked order drove away worth food party i customer support even checked confirmed never even came location honestly able check avoid like pretty angry giving coupon compensation guess hurt little less
Gonna miss User Eats! ❤️☹️,miss user eats red heart frowning face
Uber eats doesn't recognise me or my Login details,eats login
very professional  on time  lots of promos  reliable. I will be a forever ubereats fan! 👍👍👍,professional time lots reliable i forever fan thumbs thumbs thumbs
Food usually comes on time  hot and correct. And i love the variety of places you can order from,food usually comes time hot correct and love variety order
Nobody wants to help you when Uber eats shuts down your account for no reason! You lost a loyal customer because you don't value me as a customer,nobody help eats account reason you lost loyal customer value customer
App is okay but delivery fee is ridiculous,app delivery fee ridiculous
Best,best
excellent,excellent
Great App for regular use💙,great app regular use blue heart
Great service,great service
good,good
Bad app,bad app
Didnt bring my food and refused a refund,didnt bring food refund
It's a hit and miss I get really mad when they dont get my straws like I have to click utensils in order to get it if there's a drink they should just put it in but other then that it's awesome time saver for after long days after work and I dont feel like cooking,it hit miss i get really mad dont get like i click order get drink put awesome time saver long days work i dont feel like cooking
Shaikhsabirali Good,good
Terrible made app it's always got some bug that makes it annoying to use. This week it's the not being able to schedule orders. There's always a problem on ubers end whether it's late delivery or if it shows up at all. They are happy to take your money instantly but when they fail to deliver it takes 3-7 business days. Support staff have the intelligence of a potato if you can even get in contact with someone.,terrible made app always got bug annoying use this week able schedule there always problem end whether late delivery they happy take money instantly fail deliver business days support staff intelligence potato even get contact someone
Fast delivery,fast delivery
Good,good
More than 1 hour delay isn't nice especially when you have business to do besides eating  like catching a flight etc . Trying to deliver quality instead of quantity would be highly appreciated by your clients .,more hour delay nice especially business besides eating like catching flight trying deliver quality instead quantity would highly
ممتازه و التوصيل سريع,
എനിക്ക് ഇത് ഇഷ്ടപ്പെട്ടു ഒരുപാട്,
Hice un pedido  me aburri de esperarlo hasta que me dormí  me desperte para enterarme que lo habian cancelado  entiendo que no es culpa total de la app  pero debería prevenir esas cosas  sancionar establecimientos que no cumplen o en su defecto ofrecer una compensacion por el error a sus usuarios.,un de hasta para lo es culpa total de la app en el error
Sad uber service taken by zomato,sad service taken
The best food delivery apps.,the best food delivery
Drivers do their best but unlike uber itself you cannot pin your location. The app wrongly assumes that the address you put in is in the correct location. It results in the drivers and customer quite stressed. There is no enter manual address like the uber app.,best unlike pin location the app wrongly address put correct location it customer quite there enter manual address like app
Deleting as the Eats app no longer works for me and the advised steps for resolution don't work/appropriate help options don't exist. Trying to get assistance is near impossible. Will stick to other apps from now on.,eats app longer works advised resolution work appropriate help exist trying get assistance near impossible will stick
Fast and efficient,fast efficient
Fantastic! Food was delivered quickly and was hot and tasty.,fantastic food quickly hot tasty
So far so good! User friendly! Quick delivery!,so far good user friendly quick delivery
The app only gives an error that location can not be found and is stuck only showing the address bar. Nothing else shows up.,the app error location found stuck showing address bar nothing else
Usually fine  but they are impossible to get in contact with when anything goes wrong with an order.,usually fine impossible get contact anything goes wrong order
Great app  only issue is the limited payment options. If they had an EFT or something of the sort for those people who can't link cards.,great app issue limited payment if eft something sort people link
Drivers cancel your order just to eat your food. Customer service from India is terrible.,cancel order eat food customer service terrible
When I start the app   it confirms the delivery address and then take me to zomato,when i start app delivery address take
after installing Uber eats it tells me to redirected to play store and install Zomato.This is absolutely not good at all.,eats play store install this absolutely good
Very good,very good
Very bede,very
AVOID disappointment as Lazy UBEREATS Demands customer come to collect!! Delivery man wouldn't deliver to the door  because of their bike. I was working and it was a surprise for me but knew there was going to be a delivery  I think it's the first time Uber Eats was used. Because they weren't willing to leave their bike unattended they demanded I come outside and get it  my partner called me but I missed it  so NO DELIVERY. I've Never had a problem with JUST EAT delivering.,avoid disappointment lazy customer come collect delivery man would deliver door bike i working surprise knew going delivery i think first time eats used because willing leave bike unattended i come outside get partner i no delivery i never problem just eat
You have to have Facebook to pay cash...not a fan of that,you pay cash fan
It's good and helpful,it good helpful
Good,good
The uber eats app one of best app always active always good food good delivery timing it's amazing,the eats app one best app always active always good food good delivery timing amazing
I was told to come down and receive my order. I did exactly that  only to find that the delivery woman was not downstairs and my order was marked as delivered. My money is gone and I still have not receiverd my order even after lodging a complaint with Uber Support. This is unacceptable.,i told come receive order i exactly find delivery woman downstairs order marked my money gone i still order even lodging complaint support this unacceptable
On the rare occasion the app actually works  the selection of restaurants is depressing  the customer service is abysmal-to-nonexistent  and more often than not your order will be wrong anyway. Better to trek to whatever restaurant you're ordering from than give Uber any money for a service that doesn't work in the first place.,on rare occasion app actually works selection depressing customer service abysmal nonexistent often order wrong anyway better trek whatever restaurant give money service work first place
التوصيل غال جدا Disappointed!!!,disappointed
Food never came  didnt get refund,food never came didnt get refund
أسوأ برنامج اكل,
At first didn't get my order but it was fully refunded.,at first get order fully
Best app for food delivery with good promotions .... i liked it a lot ... most of the times 99% offer 😍,best app food delivery good lot times offer smiling face heart
App is buggy and customer support is the worst I've seen. It's not reliable and it will p**s you off! Avoid like the plague  you don't need this.,app buggy customer support worst i seen it reliable p avoid like plague need
Very nice,very nice
Make things easier n quicker,make easier n
Could not complete order??your payment method is invalid.please update your billing setting What is this problem,could complete order payment method invalid please update billing setting what problem
Nice,nice
Supper,supper
Good,good
Super food,super food
Pretty great. Not so nice when there's load shedding but overall  I'm pretty happy with Uber Eats. When I've had problems (rarely)  everything has been sorted out.,pretty great not nice load shedding overall i pretty happy eats when i rarely everything sorted
Great and fast service,great fast service
Péssimo. Você recebe um atendimento ruim e colocam a culpa em você. Nunca mais uso.,um e culpa em
Your order depends on the delivery guys' mood so be prepared not getting your food and not being notified for it. Not using and not going to use this app as it happened multiple times. Also I am writing this review second time so maybe they are even deleting the reviews. Call the restaurant or use a trustful app that 100% delivers your food.,your order delivery mood prepared getting food notified not going use app multiple times also i writing review second time maybe even call restaurant use trustful app food
Can't lie best food delivery app literally no opponent wish them more succes,ca lie best food delivery app literally opponent wish
Doesn't allow you to pay for items so essentially a wasted app When going to pay for something it keeps saying payment not verified despite it all being ticked and several attempts of different cards and paypal still wont allow us to pay even tried deleting and reinstalling didn't work.,does allow pay essentially wasted app when going pay something saying payment despite ticked several different still wont allow us pay even tried work
2 out of 2 orders placed were missing items. On the 2nd occasion I was told there would be no refund (seemingly based on the fact that they couldn't possibly get things wrong so often). Won't be using them again  app deleted.,missing on nd occasion i told would refund seemingly based fact could possibly get wrong often wo app
Pues bien hasta la semana pasada. No sé aplicaba un código promocional y no quieren reembolsarme. Apparemente  no estoy solo es este caso.,bien hasta la no un solo es
Good service,good service
My friend didn't get any of their food. ETA was 40min  delivery took 1hr 20min. Food was cold. I requested a partial refund multiple times  but Uber won't refund the missing items unless I buy $100 in Uber credit... Very disappointing,my friend get food eta min delivery took hr min food cold i partial refund multiple times refund missing unless i buy credit very disappointing
Had a couple times when I didn't get everything I ordered..but was delivered fast,had couple times i get everything i ordered fast
Orders are constantly wrong  drivers are almost never who is on the profile  and all the fees are not worth the food. I am uninstalling this app and I will never use this part of Uber again.,constantly wrong almost never profile worth food i app i never use part
Good time,good time
O app é bom  porem tem entregadores que tentam golpear quando pago no dinheiro,o app bom dinheiro
Lots of variety and deals,lots variety
I had an order and my order was cancelled and did not receive my refund this is realy poor service,i order order receive refund poor service
Good experience,good experience
Good service,good service
I used the app whilst it was loadshedding. The restaurant accepted the order only to find out 1 hour later our order was never prepared due to the restaurant not having power. I personally think I should have been informed about this when my order was placed instead of waiting for delivery and I was constantly checking the status of the order via the app. Hopefully my next experience is better.,i used app whilst the restaurant accepted order find hour later order never prepared due restaurant power i personally think i informed order instead waiting delivery i constantly status order via app hopefully next experience better
Great app  very well put together!,great app well put together
Worthless. Food never showed. Drivers are useless  and they charged me for the order anyway. Never using again.,worthless food never useless order anyway never
Good one,good one
Very poor. No promotion given,very poor no promotion given
Mint saves going out,mint going
It was good,it good
Worst app,worst app
best online food service pocket friendly,best food service pocket friendly
Ncr plz come back,come back
Good,good
Great Service,great service
Good app  food yes!,good app food yes
nice,nice
Uber is great in regards to deliver your food  however  they don't take any responsibility for missing items  I had more than 4 missing items till I decided to share my experience  I received a nice message that within 24h  someone will respond  but unfortunately no response till now. (One month ago) And today it happened again  and no one to talk about it. So Uber this my feedback back to you.,great deliver food however take responsibility missing i missing till i decided share experience i received nice message within h someone respond unfortunately response till one month ago and today one talk so feedback back
Awesome nice offer good service,awesome nice offer good service
Great deal  very quick  easy to use,great deal quick easy use
Server error repeatedly immediately after install,server error repeatedly immediately install
Good app,good app
Very nice,very nice
I would like to hide vegan/vegetarian restaurants as they do not serve real food,i would like hide vegetarian serve real food
I really have enjoyed my time with Ubwr eats. All I recommended is to get more fast food restaurants. Example chic-fil-a.,i really time eats all i get fast food example chic
Great,great
Please update the settings of map and locations. Some drivers couldn't find a place properly due to poor track. At the end of the day we are the customers have to listen to their unwanted scolds and stories.,please update map some could find place properly due poor track at end day listen unwanted
Excellent & love it,excellent love
orders get cancelled  not on my part  and refunds are never the full amount.id recommend to just use doordash. also customer service isnt very good  and theres no real way to fix any problems you have with the app.,get part never full amount id recommend use also customer service good theres real way fix app
Ey e e mb,ey e e
No ridrs,no
Excellent!,excellent
Really easy to use  absolutely no drama!,really easy use absolutely drama
The food is normally cold upon arrival. The delivery time is often time 30min to an hour later than expected. And if you have a problem with getting your food a hour and a half later than promised  cancel  ( if the option is available) but only to find you'll still be charged for your meal.,the food normally cold upon arrival the delivery time often time min hour later and problem getting food hour half later cancel option available find still meal
Are you guys crazy or what ? How can u let zomato to take over ??? I really liked your app. I want uber eats back.,are crazy how u let take i really app i want eats back
When i register to open an account. App says that you can't open account your number..  Why this happen .can't i use this app?? I forget previous password,when register open account app open account number why happen use app i forget previous password
The app isnt working at all. Cant order anything as it says that something is wrong.,the app working cant order anything something wrong
Good,good
Good,good
حلو,
Reliable,reliable
The only thing i dont like is that the food isnt as hot as it normally would be if u were to pick it up yourself. Like all uber eat delivery people should have to have a heating take away bag or box so allthe orders stay hot,the thing dont like food hot normally would u pick like eat delivery people heating take away bag box stay hot
i got 100 free deliveries. Im a happy man,got free happy man
Good,good
It's very Bad,it bad
Good,good
Amazing,amazing
Good,good
Very useful app,very useful app
Easy to use.,easy use
User friendly,user friendly
Makes food expensive  screws over restuarants with high fees  beyond the terrible they're no different than any other delivery service. Screw uber.,food expensive high beyond terrible different delivery service screw
Wow,wow
Perfect,perfect
