,Reviews,KeyWords,text
12,sri thumbs medium dark skin tone ,"['sri', 'thumbs', 'medium', 'dark', 'skin', 'tone']",Go Sri Lankan 👍🏾
13,easy use time ,"['easy', 'use', 'time']",Easy to use. I use it all the time.
14,pickup drop location selection huge mess take select update ,"['pickup', 'drop', 'location', 'selection', 'select', 'huge', 'mess', 'take', 'update']",Your pickup and drop location selection is a huge mess. Sometimes software took my drop location as the pickup location. Sometimes no drop location was selected. Please update this.
15,price lie get ,"['price', 'lie', 'get']",Price is a lie we got lkr 250 for one KM
16,come ,['come'],Come to Matale pl
17,feature like request able leave feedback driver trip ,"['feature', 'like', 'request', 'able', 'leave', 'feedback', 'driver', 'trip']",Only feature I would like to request is to be able to leave feedback to a driver after a trip has completed.
18,turn ,['turn'],It keeps notifying even after I turned it off
19,unprofessional accept card not know use map inconvenient multiple time driver come right location longer wait cancel ride pick train adhere strict norm ,"['unprofessional', 'accept', 'card', 'not', 'know', 'map', 'inconvenient', 'multiple', 'driver', 'come', 'right', 'location', 'longer', 'wait', 'cancel', 'ride', 'train', 'adhere', 'strict', 'norm']","Drivers are unprofessional. Some won't accept card payments. Some dont know how to use the GPS map. And its quite inconvenient when we have to call multiple times to get the driver to come to the right location and after a longer wait, they cancel the ride. Pick Me should really train its driver partners and make them adhere to strict standards as a norm."
20,useful app need work intercity expect city ride understand destination cancel feature silently time come ,"['useful', 'app', 'need', 'work', 'intercity', 'city', 'expect', 'ride', 'understand', 'destination', 'cancel', 'feature', 'silently', 'time', 'come']","it's useful app, but they need to work on intercity rides. drivers expect a city ride and when they understand the destination, they cancel it. also prebook feature does not work, mine was silently cancelled, when time came."
21,usually wake leave available time find driver want speak accept ride remain unresponsive map ,"['usually', 'wake', 'leave', 'available', 'time', 'find', 'driver', 'want', 'speak', 'accept', 'ride', 'remain', 'unresponsive', 'map']",I usually wake up in 5 and leave at 6:30 none of the vehicles are available at that time it is VERY FRUSTRATING when I can not find a driver when I want to.speaking of drivers most of them accept the ride and then remain unresponsive in the map as well as the calls.
22,today morning trip awful initial book time estimation min traffic road driver route apart app end take arrive destination mislead totally service complain add response ,"['today', 'morning', 'awful', 'initial', 'book', 'estimation', 'min', 'traffic', 'road', 'route', 'apart', 'end', 'take', 'arrive', 'destination', 'mislead', 'totally', 'complain', 'add', 'response']",Today's morning trip was awful. My initial amount shows as LKR 230 when I booked the trip and time estimation shows as 15 min there were no traffic in the road but driver used another route apart from my normsl route which shows in the driver app. At the end of the trip amount shows as LKR 270 and it took more than 15 min to arrive my destination. This app is misleading the customers. Totally dissapointed with the service. Complain added but still no response.
23,go app location correct today rider road come pick wrong argue address issue fault ,"['go', 'app', 'location', 'correct', 'today', 'rider', 'road', 'come', 'pick', 'wrong', 'argue', 'address', 'issue', 'fault']",Most of the riders are going another directions. But in the app my location is correct. Today the rider went to Adhikaram road. But I'm in Uswatta road. He asked me to come to Adhikaram road. Sometimes Pick me directions are wrong. Riders argue with me. Some riders come to correct address without any issue. Please correct the fault of PickMe directions and locations.
24,driver ,['driver'],There is never a driver
25,quality add delivery charge wait deliver well pay waste time map poor ,"['quality', 'add', 'deliver', 'delivery', 'charge', 'wait', 'well', 'pay', 'waste', 'time', 'map', 'poor']",higer travelling rates compares to uber and workers are not quality. and also they have added delivery charge. we have to wait for hours to deliver something. better they pay us for wasting time. map also poor
26,bad service don order food disaster half hour deliver ,"['bad', 'service', 'don', 'order', 'food', 'disaster', 'half', 'hour', 'deliver']",Worst service Don't order food from here it's a disaster They take at least one and half hour to deliver the food
27,road refuse come ,"['road', 'refuse', 'come']",Drivers on Negambo road sometimes refuse to come to surtounding areas such as Dolahena Road
28,customer service pick food ,"['customer', 'service', 'pick', 'food']",0 customer service. They never pick up a call for the food
29,driver cancel trip arrive ,"['driver', 'cancel', 'trip', 'arrive']",The driver asked me to cancel the trip and I refused. He didn't arrive at all
30,get service company km actually money people ignorant ,"['get', 'service', 'company', 'km', 'actually', 'money', 'people', 'ignorant']",In December I got a service from your company from Kadawatha to Colombo. I was charged up to 54km for this. But actually there is only 27 km. I have complained about this to the company but no one has responded to it yet. This is how much money people take. We are ignorant
31,time order food item miss option app complain add report flash available code price ,"['time', 'order', 'food', 'item', 'miss', 'option', 'app', 'complain', 'add', 'report', 'flash', 'available', 'code', 'price']",One time when I order some food one food item was missing there is no option in the app to complain in pickme food please add a option to report incidents and when will be flash available in Kandy and when you add a promo code does not show the discounted price
32,worst app late know correct location ,"['worst', 'app', 'late', 'know', 'correct', 'location']",Worst app ever. Drivers are too late and drivers don't know the correct location
33,app find driver screen busy misleading actually look background multiple min later location leave inconvenient expect substandard like ,"['app', 'find', 'driver', 'screen', 'busy', 'misleading', 'actually', 'look', 'background', 'multiple', 'min', 'later', 'location', 'leave', 'inconvenient', 'expect', 'substandard', 'like']","Once the app can't find a driver it gives you a screen that says All drivers are busy. This is misleading, because the app is actually looking for drivers in the background. There have been multiple instances where drivers have called me 20 or 30mins later after arriving at the location, but I had already left and am not in that location. This is quite inconvenient. I don't expect this substandard UX from an app like this."
34,grate app official like ,"['grate', 'app', 'official', 'like']",The grate app.to official app.i like this
35,good late food like app team big thank try add transport long distance district people need arrange delivery conformation operate till freeze order min ,"['late', 'food', 'team', 'big', 'thank', 'try', 'add', 'transport', 'long', 'distance', 'district', 'people', 'arrange', 'delivery', 'conformation', 'operate', 'till', 'freeze', 'order', 'min']",Good but very late on food orders.. And i would like to say pickme app team. A big thanks and please try to add transport to longer distance for food from kandy to digana or Teldeniya or balagola. We at kandy - kundasale District people need pickme too please arrange us some food delivery... And app will hang at ordering food.. After conformation we can operate till that freezing.. Some order's are delivered after 40min its too long for a foodie like me
36,enable option write review ride driver feedback provide complaint ,"['enable', 'option', 'write', 'review', 'ride', 'driver', 'feedback', 'provide', 'complaint']",Please enable an option to write a review about the ride where driver also can see that feedback. You have only provided the complaint option.
37,promotion code na ,"['promotion', 'code', 'na']",PROMOTION CODE PENNANNE NA.
38,easy app transportation food ,"['easy', 'app', 'transportation', 'food']",an easy app. consists of transportation food etc.
39,bad driver tell technical difficulty clearly log app tap login screen cancel pay cash directly journey fine get underpay dodgy ahead new car number plate different tip stick ,"['technical', 'difficulty', 'clearly', 'log', 'tap', 'login', 'screen', 'cash', 'directly', 'journey', 'fine', 'underpay', 'dodgy', 'ahead', 'car', 'number', 'plate', 'different', 'tip', 'stick']",Full of scammers. I've had 3 out of 3 bad experiences. First the driver arrived and told me he had a technical difficulty (he had clearly logged out of the app and was just tapping on the login screen). He clearly wanted us to cancel and pay cash directly to him. Then we had a journey that seemed fine but I got a call to say I had underpaid. Seemed dodgy. Then a driver called ahead to say he had a new car and so his number plate was different. Also you can't tip. Stick to Uber.
40,easy rugby football soccer ball ,"['easy', 'rugby', 'football', 'ball', 'soccer']",very easy travelling 🏉🏉⚽⚽⚽
41,good food map add location taxi maximum journey distance driver accept ,"['good', 'food', 'map', 'add', 'location', 'taxi', 'maximum', 'journey', 'distance', 'driver', 'accept']","Very Good. After selecting the food, map has bugs in resizing. Cannot add more than 1 location of taxi designations to show maximum journey distance for driver to accept"
42,trip install driver hire ,"['trip', 'install', 'driver', 'hire']","එක trip එකකින් පස්සේ ඇප් එක uninstall කරලා නැවත install කරලා තමයි පාවිච්චි 
කරන්න වෙන්නේ අනිත් එක driver ගේ informations මොනවත් පෙන්වන්නෙත් නෑ me 
issues tika poddak hadanna.ehema nethiwunoth e hire ekata maruwenna wenawa"
43,option search app food delivery ,"['option', 'search', 'app', 'food', 'delivery']","There is no ""Go"" option to Make a SEARCH in this app for food delivery"
44,government tax price ay hire start rs end nam kata ,"['government', 'tax', 'price', 'ay', 'hire', 'start', 'rs', 'end', 'nam', 'kata']",government eken tax adu karala tuk tuk vala price adu karanna kivva neda? ay me oyalage thavath price vadivela? ada venadata vada rs20k vadi una hire ekata.. start karanna kalin rs78y pennuve hire eka end unaama 100y.. ehema venne kohomada? hari nam tax adu karapu nisa 65kata vath yanna oni... meka ikmanata adu karanna naththan adaala ayathanavdanuvath karala api mekata viruddava kriya karanava ikmanata price adu karanna tuk tuk vala..
45,call location bad service win use ,"['call', 'location', 'bad', 'service', 'win', 'use']",Too many drivers calling and asking the location and cancelling. Worst service. Won't use again.
46,app go bad terrible trip similar distance different high charge silent far away place not come cancel poor customer care agent talk service sri money ,"['go', 'bad', 'terrible', 'similar', 'distance', 'different', 'high', 'charge', 'silent', 'far', 'away', 'place', 'cancel', 'poor', 'customer', 'care', 'agent', 'talk', 'sri', 'money']",The pickme app has gone bad to worse and terrible. Same trip with similar distance the app shows different kms and hence higher charge. Drivers after accepeting a trip keep silent and when called upon they say they are in a far away place and cant come asking us to cancel. Very poor customer care with no agent to talk to. This service should be banned in Sri Lanka and give the cheated money back to customers.
47,take short ,"['take', 'short']",Drivers are not taking the short rides
48,driver need bad discipline aware give ask destination cancel weather card payment food delivery lot consider useful time overall helpful app ,"['driver', 'need', 'bad', 'discipline', 'aware', 'give', 'ask', 'destination', 'cancel', 'weather', 'card', 'payment', 'food', 'delivery', 'lot', 'consider', 'useful', 'time', 'overall', 'helpful']",Driver standards need to be improved. Most of the drivers are not professionals. Sometimes bad discipline and not aware about offers given by PickMe. Some call and ask for the destination and ask to cancel. Some ask weather its a card payment and if a card they ask to cancel. Food delivery part needs to be improved a lot considered to the other competitors. But it is useful most of the time and overall helpful app
49,clearly state ,"['clearly', 'state']",Operations confusing not clearly stated.
50,good taxi app plus food delivery courier available ,"['good', 'taxi', 'app', 'plus', 'food', 'delivery', 'courier', 'available']",The best taxi hailing app plus food delivery and courier services are also available.
51,not use ,"['not', 'use']",Cant use these apps why
52,app effective need vehicle food tell stick cancel driver far book person think ,"['app', 'effective', 'need', 'vehicle', 'food', 'tell', 'stick', 'cancel', 'driver', 'far', 'book', 'person', 'think']",This app is really effective when we are in need of a vehicle or we can even get our food when we tell them but sometimes it gets stuck and when we cancel the driver cuz driver may be too far and book another one the same person gets booked so... I think they need more drivers.
53,eat well food ,"['eat', 'well', 'food']",uber eats is better than pickme food
54,pick show exact location good connection improve ,"['pick', 'show', 'exact', 'location', 'good', 'connection', 'improve']",Pick me is not showing the exact location of the vehicles even if i have good internet connection plz improve it.
55,add code not price food correct issue app ,"['add', 'code', 'not', 'price', 'food', 'correct', 'issue', 'app']",when you add a promo code you dont see the discounted price in pickme food make it correct it is the only issue with this app
56,know way price go end trip book rupia grow use come order better ,"['know', 'way', 'price', 'go', 'end', 'trip', 'book', 'rupia', 'grow', 'use', 'come', 'order', 'better']",I just wona know- way sometimes price is going up on end of the trip? I was make booking for 480 rupia but end of the trip price grow 580rupia. Why????? More I use more I upsed!!!! Two drivers didn't come on order. Uber is better
57,app work faulty identify path suggest long way traffic charge choose short quick road refund receive day thing time trip raise complaint ,"['work', 'faulty', 'identify', 'path', 'suggest', 'long', 'way', 'traffic', 'charge', 'choose', 'short', 'quick', 'road', 'refund', 'receive', 'day', 'thing', 'trip', 'raise', 'complaint']","This app used to work okay, but its faulty now. It cannot identify the shortest path and suggest to take longer way even with 0 traffic in both roads. Then charge for the suggested longer path, even if we choose the shorter quick road. Charged me 472 LKR for only 5.5 Km by tuk tuk. It should be around 220 LKR. I requested a refund and received it as Pickme points after few days. The same thing happened again, this time charged 383 LKR for 210 LKR trip. Raised a complaint again."
58,food section ,"['food', 'section']",it have bugs in food oder section
59,service bad trip short get ,"['service', 'bad', 'trip', 'short', 'get']",This service is verry bad service. When the trip is short drivers are not getting the trip
60,not experience app unfriendly like ,"['not', 'experience', 'app', 'unfriendly', 'like']",I havent experience .but that app is unfriendly.i dont like
61,app useful new update worser thank go ,"['app', 'useful', 'new', 'update', 'worser', 'thank', 'go']",This app isn't useful at all...The new update is worser.... :-( Btw thanks for the rides I already went!!
62,include destination option ,"['include', 'destination', 'option']",Could include up and down destination option
63,use time ,"['use', 'time']",I never use the pickme . This is my first time.
64,start great ignore pickup location ahead destination charge trip experience receive response obviously way treat absolutely poor give star rating wish service hopeless ,"['star', 'start', 'great', 'ignore', 'pickup', 'ahead', 'destination', 'charge', 'experience', 'receive', 'response', 'obviously', 'way', 'treat', 'absolutely', 'poor', 'give', 'rating', 'wish', 'hopeless']",At the start PickMe was great but now the drivers seem to ignore you on your pickup location and go ahead to your destination and charge you for a trip you didn't take. I've had this experience on 2 occasions and I didn't receive a response for my complaints from PickMe at all. Obviously the way you treat your customers is absolutely poor and this is why I'm giving a 1 star rating and really wish I could give no rating at all because your service and response is hopeless.
65,day charge wrong customer service absolutely ,"['day', 'charge', 'wrong', 'customer', 'service', 'absolutely']",I have been using pickme since the day one but sometimes they charge you for wrong distances and customer service officers does absolutely nothing about your complaints.
66,awful app come available price book not find car get confirmation pick time day say request confirm ridiculous helpful leave taxi ,"['awful', 'come', 'available', 'price', 'book', 'not', 'find', 'car', 'get', 'confirmation', 'confirm', 'pick', 'time', 'day', 'say', 'request', 'ridiculous', 'helpful', 'leave', 'taxi']","Awful app. Shows the cars come up, says it's available and gives a price. Go to book it and nothing happens and cant find a car. Also attempted to do a pre booking and I got a confirmation of the booking. 30 minutes before the expected pick up time (the next day), we got a call to say no cars were available. They said that the request was confirmed, but not the car and there wasnt one. Which is ridiculous and not helpful. Either its confirmed or it's not!! Then we were left stranded and no taxi."
67,know add code yes want service poor accept ride remove ,"['know', 'add', 'code', 'yes', 'want', 'service', 'poor', 'accept', 'ride', 'remove']","Do the drivers know if the customers add a promo code? If yes,what I want to say is that your service is very poor. Bcz none of them accept the ride. If i remove the promo code they accept the ride."
68,use app location update slow wrong time lot trouble driver go pass pickup way come right show lead waste ,"['use', 'app', 'location', 'update', 'slow', 'wrong', 'time', 'lot', 'trouble', 'driver', 'go', 'pass', 'pickup', 'way', 'come', 'right', 'show', 'lead', 'waste']","I use PickMe app ofently both in Colombo & Gampaha which is my hometown. But I must say the location update of the app is very slow and it sometimes shiw wrong time estimations which caused lot of trouble for the driver as well as me. Sometimes the app shows the driver is going passing the pickup location, so I call him and say the way he is going is wrong. But infact he has comes the right way and the app has shown some wrong infor which is very inconveninet and lead to waste of time"
69,pick update app road bad service see ,"['pick', 'update', 'app', 'road', 'bad', 'service', 'see']",Im using pick me to take hires not to update the app while on the road. Kinda worst service I hv ever seen
70,app important travel thank pick ,"['app', 'important', 'travel', 'thank', 'pick']",This app is very important to travel thank you very much pick me
71,terrible bad lost credit card shop buy hand bag car driver money complain police station lose day sri need airport action pick careful ,"['terrible', 'bad', 'lost', 'credit', 'card', 'car', 'shop', 'buy', 'hand', 'bag', 'money', 'complain', 'police', 'station', 'lose', 'day', 'sri', 'airport', 'action', 'careful']","Terrible very bad lost my 1800$ and my credit card i go shop buy something my hand bag in the car. Driver take my money, but not give him i complain police station colombo. Then he give me but lost my money my last day in sri lanka, i need to go airport i no take action very bad pick me careful for every one"
72,hi team not use app fraud bad today food contact feel like mislead people ,"['hi', 'team', 'not', 'use', 'app', 'fraud', 'bad', 'today', 'food', 'contact', 'feel', 'like', 'mislead', 'people']",Hi team dont ever use this F*** app since it was a fraud i had 3 bad expireinces with 2 with Pickme TUK and one today with pickme food please contact me if you feel like im liening since this F*** app was misleading people
73,cheating ,['cheating'],Some drivers have been cheating
74,uncultured people filth ,"['uncultured', 'people', 'filth']",The drivers of Pickme is very uncultured people who talks filth to women
75,turn promotion ,"['turn', 'promotion']",Can't turn off promotion notifications.
76,bad app get strike time pic food ,"['bad', 'app', 'get', 'strike', 'time', 'pic', 'food']",This is the worst app that i ever used. Getting struck most of the time when raining. Pic me food is the worst.
77,bad app food delivery deliver order today promotion crispy chicken get complaint ,"['bad', 'app', 'food', 'deliver', 'delivery', 'order', 'today', 'promotion', 'crispy', 'chicken', 'get', 'complaint']",Very worst app for food delivery. Always they deliver something that we don't order. Today i ordered a promotion of two crispy chicken with burger at kfc but what i got is only one chicken.there's no any options to make complaint. Worst app for food.
78,find difficult location ,"['find', 'difficult', 'location']",Most Drivers find it difficult to find the location.
79,update later need free space old version ,"['update', 'later', 'need', 'free', 'space', 'old', 'version']",i will update later as i need to free up space. until then keep the older version?
80,na food ,"['na', 'food']",Pissu hadenawa oiii Mn gedra uyana ewa kanneth na pickme food witharai
81,high price ,"['high', 'price']",High price than uber
82,time ,['time'],All time no wheecal
83,cheat app ah tell rs discount think fool traffic disgusting charge spread ,"['cheat', 'app', 'ah', 'tell', 'rs', 'discount', 'think', 'fool', 'traffic', 'disgusting', 'charge', 'spread']",what a cheating app is this. ah they told it is 475rs. and 50rs discount and 425rs. but they have charged 520rs (with discount) do u think us as fool? how can you say it is for traffic charges. there is not even much traffic. such a disgusting app. always charge extram cheaters. I'm uninstalling the app and will spread this to all my friends
84,use app unfortunately late version bad ,"['use', 'app', 'unfortunately', 'late', 'version', 'bad']",Cannot use the app. Because unfortunately app has stoped. latest version is very bad.
85,pick food good expensive find hard delivery address need improvement finding location ,"['pick', 'food', 'good', 'expensive', 'find', 'hard', 'delivery', 'address', 'need', 'improvement', 'finding', 'location']","Pick me food is very good and less expensive but drivers find hard to find the delivery address, need some improvement in finding location."
86,not safe see girl know number save call disturb complain action pick company money sexual ,"['not', 'safe', 'see', 'girl', 'know', 'number', 'save', 'call', 'disturb', 'complain', 'action', 'pick', 'company', 'money', 'sexual']","Not safe for girls, the drivers whoever seen any girl and they know that girl call her number and they save that and gives their friends and calling disturbing that girl. If you complain no action from pick me. Company only for money drivers only for sexual harasment."
87,need car ,"['need', 'car']",Please I won't go horaisans coolej I need car
88,nice new drop pickup map cover live fix size change zoom level transparent ,"['nice', 'new', 'drop', 'pickup', 'map', 'cover', 'live', 'fix', 'size', 'change', 'zoom', 'level', 'transparent']",Nice. Bt new drop and pickup UIs on the map cover the live vehicles sometimes. Please fix it. Those UIs sizes must change with the zoom level. Or make them transparent.
89,promotion lie get st nd normally use pick location initial value show fee approximately equal today pay add look extra phone day big don foolish send ,"['promotion', 'lie', 'st', 'nd', 'normally', 'initial', 'value', 'fee', 'approximately', 'equal', 'today', 'day', 'pay', 'look', 'extra', 'phone', 'big', 'don', 'foolish', 'send']","Promotion is just lying after you really getting 1st or 2nd promotion. I normally use pick me to one location to the same location. The initial value shown to me as my fee is approximately equal.But today, the fee I have to pay shows up with the added pramotion fee.Just looking at my extra phone, it showed me the value I showed the other day. That's the biggest lie.1st day I got 50 as promotion. Don't be foolish about every promotions pick me sending us."
90,search bar work food delivery impossible find relevant restaurant ,"['search', 'bar', 'work', 'food', 'delivery', 'impossible', 'find', 'relevant', 'restaurant']",Search bar is not working in the food delivery. Impossible to find a relevant restaurant
91,near pick customer map disappearing meter need contact exact location mobile expenditure high ,"['near', 'pick', 'customer', 'map', 'disappearing', 'meter', 'need', 'contact', 'exact', 'location', 'mobile', 'expenditure', 'high']",When we near to pick up customer map was disappearing within 50meters before. So we need to contact to customer for exact location. Our mobile expenditure is high.
92,day need ,"['day', 'need']",Realy its helpfull for our day to day needs
93,use navigation feature driver view direction express way cost wrong ,"['use', 'navigation', 'feature', 'driver', 'view', 'direction', 'express', 'way', 'cost', 'wrong']","When drivers use navigation feature, tuk tuk driver also view the direction via express ways. Estimated cost details are wrong."
94,difficult connected peak time ,"['difficult', 'connected', 'peak', 'time']",very difficult to get connected at peak times
95,no wait vain road near ,"['no', 'wait', 'vain', 'road', 'near']",No wait in vain on the road always near with us
96,not know use app ,"['not', 'know', 'use', 'app']",Drivers dont know to use app..
97,quit good understand wait charge go little automatically time fare high ,"['quit', 'go', 'good', 'understand', 'wait', 'charge', 'little', 'automatically', 'time', 'fare', 'high']","Everythings quit good but i don't understand this waiting charge, even when the vechicle goes little slower it automatically changes in to waiting, because of this some times the fare is higher"
98,bit high ,"['bit', 'high']",The prices are bit high
99,book ride car advance start proper reason ,"['book', 'ride', 'car', 'advance', 'start', 'proper', 'reason']",Booked a ride by car to Merissa 4 hours in advance. 3 minutes before the start it was canceled without a proper reason.
100,dude mark distance fare rate uninstalle app lose ,"['dude', 'mark', 'distance', 'fare', 'rate', 'uninstalle', 'app', 'lose']","What the f** dude, when i mark a distance 1.02 km the fare is 105.00 , where is your rate ??? Just now uninstalled the app,get lost"
101,low price travel ,"['low', 'price', 'travel']",Tanks for low price travel
102,driver number hard directly contact immediately valuable lose know plate identical call taxi street sri special ,"['driver', 'number', 'hard', 'directly', 'contact', 'immediately', 'valuable', 'lose', 'know', 'plate', 'identical', 'call', 'taxi', 'street', 'sri', 'special']",You can't get the driver's number. It's hard to directly contact the driver immediately after a valuable of yours is lost. You'll only know his name and number plate. So it's identical to calling out a taxi in the streets of Sri Lanka. Nothing special.
103,sure hire decent second not notification damn driver way end app call scold filth hell ,"['sure', 'hire', 'decent', 'second', 'not', 'notification', 'damn', 'driver', 'way', 'end', 'app', 'call', 'scold', 'filth', 'hell']","First of all make sure you guys hire decent drivers, second dont give me a notification that there are no drivers when a damn driver is already on the way because we end up using another app and this driver keeps calling us to scold us in filth what the hell"
104,like app try apply price reduce ,"['like', 'app', 'try', 'apply', 'price', 'reduce']","I like this app. But I tried to apply the promo codes to my rides. It shows as applied, but the price was same. Does not reduce the amount."
105,useful app use frequently food travel ,"['useful', 'use', 'app', 'frequently', 'food', 'travel']","very useful app , we use it frequently for both food and travel."
106,taxis quick map well confirm pick location trouble accurate driver near far away ,"['taxis', 'quick', 'map', 'well', 'confirm', 'pick', 'location', 'trouble', 'accurate', 'driver', 'near', 'far', 'away']","Taxis are very quick. The map is not better than uber. Allways drivers call to confirm the pick up location which is a trouble. The map is not accurate, even when the driver is near by it shows that he is far away."
107,waste time app single trip ,"['waste', 'time', 'app', 'single', 'trip']",Just a waste of time. The app crashes every single time and the trip details disappears
108,force update acceptable ,"['force', 'update', 'acceptable']",Forced update not Acceptable
109,app badly design distance run total unexpected extra traffic dense set location map disaster competition contrast simple use ,"['app', 'badly', 'design', 'distance', 'run', 'total', 'unexpected', 'extra', 'traffic', 'dense', 'set', 'location', 'map', 'disaster', 'competition', 'contrast', 'simple', 'use']","This app is badly designed. PickMe charges by distance, but the app doesn't show the running total. Hence there are unexpected extra charges when traffic is dense. The app's ""Set Location on Map"" is a disaster, it deletes the location that's already entered. Their competition's app in contrast is simple to use."
110,trip complain ,"['trip', 'complain']",හොරු .... පැය 1ක trip එක්කට පැට 2 කක wating එකතු කර්ලා .complain කරත් අද වෙන්කන් උත්තරක් නැ. පැය 48කින් උත්තර දෙනවා කීවට මෙයාලට සති දෙකක් යනකන් තාමත් පැය 48ක් ගිහිල්ලා නැ. මෙහෙම කී දෙනෙක්ට වෙනවා ඇතිද? සමහරු නම් දන්නෙත් නැ උනාට. හොරු...මාස 5 ක් තාමත් මුන්ට පැට 48ක් ගිහිලා නැ
111,not use old account passenger ,"['not', 'use', 'old', 'account', 'passenger']",Cant use old account it says passenger already exists
112,enter address say passenger ,"['enter', 'address', 'say', 'passenger']",When I enter my email address keeps saying passenger already exists :-/
113,pick food current update ,"['pick', 'food', 'current', 'update']",All pick me food shops disappeard after the current update? WTH?
114,add dark theme smile face heart ,"['add', 'dark', 'theme', 'smile', 'face', 'heart']",Please add dark theme 😍
115,add round trip option app ,"['add', 'round', 'trip', 'option', 'app']",Please add Round trip option to the app
116,order mark come ,"['order', 'mark', 'come']",Order marked as delivered but never came in. Very disapointed.
117,record receive ,"['record', 'receive']",Mhcxgk Xk j kcjmcjc Ckcjcmcjccjkc to record your collaborators received email from your
118,times high user friendly app ,"['times', 'high', 'user', 'friendly', 'app']",Rates are at times high.. but user friendly app
119,not ask turn location time open app ,"['not', 'ask', 'turn', 'location', 'time', 'open', 'app']",please dont ask us to turn on location settings each time we open the app.
120,high need reduce category match ride ,"['high', 'need', 'reduce', 'category', 'match', 'ride']",Fares too high. Need to reduce charges by at least 150 rupees for every category to match other ride hailing apps.
121,utterly disappointed service take deliver marine drive small order problem delivery people food shrug ,"['utterly', 'disappointed', 'service', 'take', 'deliver', 'marine', 'drive', 'small', 'order', 'problem', 'delivery', 'people', 'food', 'shrug']",Utterly disappointed about the service. It took more than two hours to deliver from KFC in marine drive to Bambalapitiya just a small order. The problem is they don't have enough delivery people to deliver the food. *shrug*
122,pick taxi service food fantastic backhand index point finally red heart ,"['pick', 'taxi', 'service', 'food', 'fantastic', 'backhand', 'index', 'point', 'finally', 'red', 'heart']",Both Pick Me taxi service and Pick Me food service are fantastic 👇 Finally pickme is in Negombo ❤️
123,recent update app midway ie book phone outdated new version possible old prior sept th ,"['recent', 'update', 'app', 'midway', 'ie', 'book', 'phone', 'outdated', 'new', 'version', 'possible', 'old', 'prior', 'sept', 'th']",After the recent update the App stops midway ie when it highlights Book now. Is is bicos my phone is outdated for new version Samsung dous. Is it possible to download the old version of your App prior to Sept 30 th one.
124,app try completely trash service garbage start trip charge person fault ,"['app', 'try', 'completely', 'trash', 'service', 'garbage', 'start', 'trip', 'charge', 'person', 'fault']","There's an app called Uber, Try that because pickme is completely trash, Their tuk service is garbage, Some drivers completely forgets to start the trip on the app and they try to charge the person, because of their fault..."
125,absolutely trash unreliability cost depend food forever ,"['absolutely', 'trash', 'unreliability', 'cost', 'depend', 'food', 'forever']",Absolutely trash. It's unreliability will cost you when you depend on it. Food deliveries take forever and get cancelled often.
126,good precise easy use ,"['good', 'precise', 'easy', 'use']",Very good. Precise and easy to use.
127,probably unreliable service till date peak time manage book fail turn notice good stick repute competition ,"['probably', 'unreliable', 'service', 'till', 'date', 'peak', 'time', 'manage', 'book', 'fail', 'turn', 'notice', 'good', 'stick', 'repute', 'competition']","Probably the most unreliable service I have used till date. At most peak times there are no vehicles and if you manage to book one, it will fail to turn up without a notice. Best to stick to the reputed competition."
